Topic_CID,Original_MP_Name,MP_Name,Text,Seq,Speech_Order,Speech_CID
2023-07-06-T-001,Denise Phua Lay Peng,Ms Denise Phua Lay Peng,asked the Minister for Social and Family Development (a) what is the current per capita cost of running Day Activity Centre services for adults with disabilities with moderate to high needs; and (b) what is the current per capita grant provided by the Government for such Day Activity Centre services.,1,1,2023-07-06-T-001-S-00001
2023-07-06-T-001,Eric Chua,The Senior Parliamentary Secretary to the Minister for Social and Family Development (Mr Eric Chua) (for the Minister for Social and Family Development),"Mdm Deputy Speaker, the per capita cost of running Day Activity Centre (DAC) services varies, depending on each centre’s programming and operational considerations.",1,2,2023-07-06-T-001-S-00002
2023-07-06-T-001,Eric Chua,The Senior Parliamentary Secretary to the Minister for Social and Family Development (Mr Eric Chua) (for the Minister for Social and Family Development),"Government funding to DACs is tiered according to the care needs of clients. Government funding to DACs is also means-tested, depending on each client’s income level. In FY2022, the average amount of Government grants provided to DACs was about $14,000 per client.",2,3,2023-07-06-T-001-S-00003
2023-07-06-T-001,Eric Chua,The Senior Parliamentary Secretary to the Minister for Social and Family Development (Mr Eric Chua) (for the Minister for Social and Family Development),"Besides funding from the Government, DACs also receive funding from the community, such as through Tote Board and their own fund-raising.",3,4,2023-07-06-T-001-S-00004
2023-07-06-T-001,Deputy Speaker,Mdm Deputy Speaker,Ms Denise Phua.,1,5,2023-07-06-T-001-S-00005
2023-07-06-T-001,Denise Phua Lay Peng,Ms Denise Phua Lay Peng (Jalan Besar),"I thank the Senior Parliamentary Secretary for always helping this sector. There are issues on the ground. A lot of the charities that are running services for the moderate to high needs individuals with disabilities are facing a lot of challenges on the ground, based on this current funding model. I think the Ministry of Social and Family Development (MSF) has been trying to help, but the challenges remain.",1,6,2023-07-06-T-001-S-00006
2023-07-06-T-001,Denise Phua Lay Peng,Ms Denise Phua Lay Peng (Jalan Besar),"May I request the Ministry to convene a workgroup that comprises MSF, the Ministry of Finance (MOF) and the disability agencies to deeply analyse what is the issue, what is the beef all about and why are there so much noise, so many worries and challenges? And then, to identify what are some alternate and more innovative financing models for DACs for disabled adults with moderate to high support needs.",2,7,2023-07-06-T-001-S-00007
2023-07-06-T-001,Denise Phua Lay Peng,Ms Denise Phua Lay Peng (Jalan Besar),"Debating at a very general level and asking Parliamentary Questions (PQs) and replying to PQs at this level is not going to solve matters. The reason is that the costs are indeed high. Although the average grant is about $14,000, some of the costs can go up to about $30,000 per year.",3,8,2023-07-06-T-001-S-00008
2023-07-06-T-001,Denise Phua Lay Peng,Ms Denise Phua Lay Peng (Jalan Besar),"There are also issues like fee cap and you cannot charge that much sometimes. The funding is completely means-tested and, therefore, average and higher-income households are often discouraged from using the services. They will then keep their children at home and that is not always the best quality of life. And later on, there will be more costs.",4,9,2023-07-06-T-001-S-00009
2023-07-06-T-001,Denise Phua Lay Peng,Ms Denise Phua Lay Peng (Jalan Besar),"So, the Ministry should really study alternate models, such as providing a universal base subsidy, with additional means-testing subsidy. This is what, I think, Minister Vivian Balakrishnan, when he was MSF Minister actually looked at. So, there are some models that can be considered. If we do not solve this problem, then, cohorts of graduates from the special schools with mid to high needs are really going to suffer. So, I hope the Ministry will look into this deeply with those of us who really want to solve this issue.",5,10,2023-07-06-T-001-S-00010
2023-07-06-T-001,Eric Chua,Mr Eric Chua,"Mdm Deputy Speaker, I share the passion of the Member and I really applaud the Member as we can see, from her very spirited delivery of her supplementary questions. I share that passion as well in doing more for the community, especially for those with moderate to severe needs. I totally agree with her that staying at home, not consuming any of these services, is not going to be the way to go.",1,11,2023-07-06-T-001-S-00011
2023-07-06-T-001,Eric Chua,Mr Eric Chua,"She mentioned the point about fee caps. We introduced that in October 2021. That helped about half of the community with some of the fees. The fee cap is anywhere between $20 and $710. Of course, there is much more that can be done. This year, we will be piloting the Enabling Services Hub. We will be launching that by the second half of this year. We will provide learning, social activities as well as respite care at locations that are closer to where persons with disabilities, including those with moderate needs, as well as their caregivers, live.",2,12,2023-07-06-T-001-S-00012
2023-07-06-T-001,Eric Chua,Mr Eric Chua,We take the Member's points on board and we look forward to that continued engagement and exploration with the community and the Member herself to see what better we can do for the community.,3,13,2023-07-06-T-001-S-00013
2023-07-06-T-002,Jessica Tan Soon Neo,Ms Jessica Tan Soon Neo,–,1,14,2023-07-06-T-002-S-00014
2023-07-06-T-002,Jessica Tan Soon Neo,Ms Jessica Tan Soon Neo,2 To ask the Minister for Communications and Information (a) whether he can provide an update on the SPH Media Trust committee’s review of overstated circulation numbers of its publications; and (b) what are the measures that SPH Media Trust and the Government will take to prevent similar incidents in the future.,2,15,2023-07-06-T-002-S-00015
2023-07-06-T-002,Tin Pei Ling,Ms Tin Pei Ling,asked the Minister for Communications and Information in respect of the SPH Media Holdings Board’s Audit and Risk Committee findings published on 16 June 2023 (a) what is the timeline for SPH Media Group to implement the recommendations; (b) whether the Ministry will impose additional obligations on the group to tighten accountability; and (c) whether all the overstated circulation figures and consequent financial impact have been corrected.,1,16,2023-07-06-T-002-S-00016
2023-07-06-T-002,Murali Pillai,Mr Murali Pillai,"asked the Minister for Communications and Information with respect to SPH Media Group’s filing of a Police report over overstated circulation figures of SPH news publications after potential offences were flagged in an investigation by its audit committee (a) whether the Police has classified the Police report as one that discloses offences for investigation; (b) if so, what are the offences; and (c) how will the Police treat the key investigative findings by SPH Media Group’s audit committee, which include conclusions on the state of knowledge on the part of various SPH officers in relation to the inflated circulation numbers.",1,17,2023-07-06-T-002-S-00017
2023-07-06-T-002,Murali Pillai,Mr Murali Pillai,asked the Minister for Communications and Information in respect of the investigation report issued by SPH Media Group’s audit and risk committee on overstated circulation numbers of SPH news publications (a) whether the steps that have been recommended to be undertaken by SPH Media Group in the report are assessed to be adequate; (b) whether regulatory action is being considered; and (c) whether any new regulation is being contemplated to tighten reporting standards by media groups on circulation numbers and other key information to ensure accountability for the same.,1,18,2023-07-06-T-002-S-00018
2023-07-06-T-002,Zhulkarnain Abdul Rahim,Mr Zhulkarnain Abdul Rahim,"asked the Minister for Communications and Information in view of the findings and recommendations in the recent report by the Audit and Risk Committee of SPH Media Group, what are the lessons and safeguards that the Ministry will take on funding to SPH Media or other entities in the future.",1,19,2023-07-06-T-002-S-00019
2023-07-06-T-002,Yip Hon Weng,Mr Yip Hon Weng,asked the Minister for Communications and Information in view of the report released by the Audit and Risk Committee of SPH Media Holdings Pte Ltd (a) whether the Ministry still plans to continue its S$900 million funding support for SPH Media Trust over the next five years; and (b) how will the Ministry ensure that such monies are spent prudently with good accountability and oversight.,1,20,2023-07-06-T-002-S-00020
2023-07-06-T-002,Ang Wei Neng,Mr Ang Wei Neng,asked the Minister for Communications and Information (a) whether there is a need to set up a Committee of Inquiry to reveal the cause of Singapore Press Holdings (SPH)’s overstatement of its daily circulation numbers; (b) whether the Ministry will consider revealing to the public the companies that are involved in assisting SPH to overstate the circulation numbers; and (c) what are the lessons learnt to prevent such occurrences.,1,21,2023-07-06-T-002-S-00021
2023-07-06-T-002,Leong Mun Wai,Mr Leong Mun Wai,"asked the Minister for Communications and Information (a) whether the Government's funding agreement with SPH Media Trust has been concluded and if any funds have been disbursed; (b) if so, whether these funds will be re-assessed in light of the report of the Audit and Risk Committee of SPH Media released on 16 June 2023; and (c) whether the key performance indicators for the funding agreement will include evaluations of SPH Media Trust's risk culture and improvements to its risk management practices and internal controls and processes.",1,22,2023-07-06-T-002-S-00022
2023-07-06-T-002,Josephine Teo,The Minister for Communications and Information (Mrs Josephine Teo),"Mdm Deputy Speaker, may I seek your permission to take Question Nos 2 to 9 in today’s Order Paper?",1,23,2023-07-06-T-002-S-00023
2023-07-06-T-002,Deputy Speaker,Mdm Deputy Speaker,Please proceed.,1,24,2023-07-06-T-002-S-00024
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,I will also address the Question filed by Ms Hany Soh,1,25,2023-07-06-T-002-S-00025
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,"Madam, in the February 2023 Sitting of Parliament, Members had asked a range of questions on this matter. In response, I made three key points.",2,26,2023-07-06-T-002-S-00026
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,"The first is that the events took place before SMT was formed, when the media business was under SPH Limited (SPHL), a privately listed company.",3,27,2023-07-06-T-002-S-00027
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,"The second point is that whatever happened had no bearing on public funds, because the Government did not have a funding relationship with SMT before the end of 2022. For avoidance of doubt, the first tranche of funding was disbursed in March 2023. In other words, the events preceded the period of funding. No public funds had been involved. Correspondingly, the question of loss of public funds does not arise.",4,28,2023-07-06-T-002-S-00028
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,"Third, I explained the Government’s reasons for funding SMT’s transformation, which had little to do with circulation. Nevertheless, the Government made it clear that it expected SMT to properly investigate the matter and to give the public a proper account.",5,29,2023-07-06-T-002-S-00029
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,SMT’s Audit and Risk Committee (ARC) has since concluded its investigations and its findings have been extensively reported.,6,30,2023-07-06-T-002-S-00030
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,"My update to Members will, therefore, focus on three areas, namely, the ARC’s findings; what SMT will do to address the underlying issues; and what the Government will put in place to ensure public funding to SMT remains prudent and accountable.",7,31,2023-07-06-T-002-S-00031
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,"Let me first deal with the ARC’s observations. As Members will have read in media reports, there were three noteworthy findings.",8,32,2023-07-06-T-002-S-00032
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,"First, the overstatement of circulation numbers amounted to around 82,600 average daily copies at August 2021. This is around 10% of overall circulation of their main titles. The ARC did not find any evidence of the involvement of the journalism and editorial departments.",9,33,2023-07-06-T-002-S-00033
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,"Second, the ARC found that the accounting impact was not deemed to be material to the financial statements of SPH Media Group for the financial year ending August 2022 taken as a whole. For the financial year ending August 2021, there was approximately S$110,000 in understatement of profits.",10,34,2023-07-06-T-002-S-00034
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,"Third, there were possible offences committed, based on several findings. Circulation numbers had been reported in a manner inconsistent with established standards, there was improper accounting of revenue and there was a barter deal which was possibly a questionable arrangement, entered into for the sole purpose of inflating circulation numbers.",11,35,2023-07-06-T-002-S-00035
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,"Consequently, the ARC has recommended that a Police report be filed and the Board has done so.",12,36,2023-07-06-T-002-S-00036
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,"To Mr Murali Pillai and Mr Ang Wei Neng’s questions on the specific offences being considered, I am unable to give further details as this is now an ongoing Police investigation.",13,37,2023-07-06-T-002-S-00037
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,"Ms Tin Pei Ling asked whether the overstated circulation figures and consequent financial impact have been corrected. After SMT was formed in December 2021, it began internally reviewing the data it took over and rectified the inconsistencies detected. Its accounts since its first financial year ending August 2022 no longer have these inconsistencies. As for the period before SMT was formed, these findings have been made public and further actions to deal with the erroneous figures are matters to be decided by the relevant parties involved then.",14,38,2023-07-06-T-002-S-00038
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,"Ms Hany Soh filed a related question for a future Sitting. She asked if NLB had been a subscriber of SPH Media’s publications. The answer is yes. NLB’s subscription provides its members with access to various titles published by SPH Media. Neither the subscription rates nor members’ access are related to circulation numbers. There is, therefore, no impact of any kind.",15,39,2023-07-06-T-002-S-00039
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,Members Ms Jessica Tan and Ms Tin Pei Ling asked how SMT will take up the ARC’s recommendations. SMT has shared with the Ministry of Communications and Information (MCI) that its follow-up is in three main areas.,16,40,2023-07-06-T-002-S-00040
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,"One, they will benchmark their reporting to international standards. They are commissioning the World Association of Newspapers and News Publishers (WAN-IFRA) to review and advise on their methods for measuring the reach of various titles. These are the metrics that the public, businesses and the Government will be concerned with, to know how many people come into contact with a title’s content.",17,41,2023-07-06-T-002-S-00041
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,"Two, SMT will improve internal controls, including tightening deal structure and pricing approval procedures, such as requirements for approvals at the appropriate levels; strengthening guidelines and checks for revenue and cost recognition; improving separation of duties among staff to ensure data accuracy and accountability; and commissioning external parties to review its governance, control and compliance measures, with the aim of embedding the enhancements into a new enterprise resource planning system.",18,42,2023-07-06-T-002-S-00042
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,"Three, SMT will enhance its risk management practices throughout the organisation and review its risk culture. SMT has assured MCI that they will implement these measures immediately and will provide us with regular status updates on a half-yearly basis.",19,43,2023-07-06-T-002-S-00043
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,This leads me to the third set of questions that Members have asked  whether this affects the Government’s funding to SMT.,20,44,2023-07-06-T-002-S-00044
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,"The Reuters Institute Digital News Report is published annually and its 2023 edition released last month is a timely reminder why funding support for mainstream media remains necessary. Even with dozens of news sources easily available, audiences in Singapore consistently turn to our mainstream media when they need something they can trust.",21,45,2023-07-06-T-002-S-00045
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,"Specifically, trust levels in all the SMT’s major titles remained much higher than the global average – 73% of respondents expressed trust in The Straits Times, up three percentage points from last year. This is against the backdrop of the erosion of trust in news globally, from an already modest 42% last year to 40% this year.",22,46,2023-07-06-T-002-S-00046
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,Trusted news media made possible by quality journalism is a public good we cannot afford to compromise on. It is more important than ever when the environment is full of disinformation and sensationalised news.,23,47,2023-07-06-T-002-S-00047
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,"However, SMT can only deliver quality journalism if they can continue to strengthen their capabilities and reach audiences in the digital age. Media consumption has moved online rapidly, disrupting the entire industry. In the same report by Reuters Institute, the share of respondents who consume print news has dropped to 22%, from 53% just six years ago.",24,48,2023-07-06-T-002-S-00048
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,"SMT must move decisively into the online space. But the new competencies take time to build and the economics of news media in the digital era do not make it easy for newsrooms to survive, let alone fund new investments.",25,49,2023-07-06-T-002-S-00049
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,"The costs of running a professional newsroom remain high, and data and technology infrastructure require substantial upfront costs. Yet, revenue streams are a fraction of what they were in the heyday of print media.",26,50,2023-07-06-T-002-S-00050
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,"Advertising revenue has been squeezed, with a large share going to platforms run by Big Tech. Growing subscription revenue in a world of free news is also challenging – only 15% of Singapore readers surveyed by Reuters Institute are willing to pay for it.",27,51,2023-07-06-T-002-S-00051
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,"The challenge is even more pronounced for vernacular publications, which have smaller readerships. Yet, it is critical to preserve them. They are an essential part of our multicultural society and unique identity and give voice to our ethnic communities.",28,52,2023-07-06-T-002-S-00052
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,"The Government's funding is, ultimately, to fulfil a public good – that of trusted news media enabled through quality journalism.",29,53,2023-07-06-T-002-S-00053
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,"MCI is committed to working with SMT to overcome the challenges of disruption and succeed in its transformation. Therefore, to Mr Yip Hon Weng and Mr Leong Mun Wai's questions, the Government will continue funding SMT at the amounts we committed to.",30,54,2023-07-06-T-002-S-00054
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,"This does not, however, mean that we have no additional expectations of SMT in light of this incident. We acknowledge their seriousness in investigating the concerns and for making the findings public. As it is now a matter for the Police to consider, we should turn our focus to making sure SMT will discharge its public duties responsibly on an ongoing basis.",31,55,2023-07-06-T-002-S-00055
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,"At the leadership level, the SMT management and board have demonstrated commitment to changing legacy practices. We expect SMT to persist in addressing internal weaknesses and systematically follow up on the required changes.",32,56,2023-07-06-T-002-S-00056
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,"Members will recall that the circulation data issue emerged because SMT was conducting its own review and due diligence following the transfer of the media business from SPH Limited in December 2021. This point has often been overlooked. This whole set of findings arose out of SMT's own internal review, which no one in particular asked them to do. They themselves felt it was important to start on a clean slate.",33,57,2023-07-06-T-002-S-00057
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,"SMT has assured us that it intends to follow up on the ARC's recommendations to ensure organisation-wide accountability and to bring the organisation forward. We welcome the plans SMT has set in motion, including instituting internationally accepted benchmarks and extensively reviewing its governance and control measures. This is an ongoing process and MCI will work closely with SMT to ensure these measures are implemented.",34,58,2023-07-06-T-002-S-00058
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,"To Mr Murali's question on reporting standards, the key point is to ensure reports are consistent with international best practice. It is in SMT’s own interest to uphold reporting standards, with or without regulation.",35,59,2023-07-06-T-002-S-00059
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,"Ms Tin and Mr Zhulkarnain asked if we will impose additional safeguards, and Mr Leong asked if we would put in key performance indicators (KPIs) evaluating SMT's improvements in risk management and controls. To assure Members, the funding agreement concluded in March this year already contains measures to ensure accountability, for example  (a) SMT is required to submit specific information on KPIs, including their methodologies and sources. These must be agreed upon and SMT is not allowed to change them without MCI's consent; (b) SMT's KPI performance and financial statements must also be audited by independent external auditors.",36,60,2023-07-06-T-002-S-00060
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,"However, the evaluation of and improvements to internal processes are clearly the responsibility of SMT's executive team. The Government will intervene if there is a case of misconduct or mismanagement of public funding. In this regard, we have built in safeguards that allow the Government to conduct our own ad hoc audits. If serious wrongdoings are found, we have the right to terminate funding.",37,61,2023-07-06-T-002-S-00061
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,"MCI will also be reviewing the terms of the funding agreement, including the KPIs and funding quantum, at the mid-term juncture. SMT's ability to address these management issues will be taken into consideration.",38,62,2023-07-06-T-002-S-00062
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,"Madam, I have updated Members on what I can. The outstanding matter of the Police investigation should be allowed to take its course. At its conclusion, the follow-up actions will also be made public.",39,63,2023-07-06-T-002-S-00063
2023-07-06-T-002,Deputy Speaker,Mdm Deputy Speaker,Mr Ang Wei Neng.,1,64,2023-07-06-T-002-S-00064
2023-07-06-T-002,Ang Wei Neng,Mr Ang Wei Neng (West Coast),"Thank you, Mdm Deputy Speaker. I thank the Minister for the very comprehensive reply. It must be painful for the journalists to report the wrongdoing of their colleagues, or sometimes it could be their supervisors in the newspapers. I have two supplementary questions.",1,65,2023-07-06-T-002-S-00065
2023-07-06-T-002,Ang Wei Neng,Mr Ang Wei Neng (West Coast),"The first question is, in the funding formula for SMT, will the circulation numbers be one of the KPIs or is there a KPI for them to increase the circulation because that will add pressure on them? Two, why is it that the names of the companies involved in helping to inflate the circulation numbers are not revealed? Is it because they are subject to Police investigation and the Minister cannot reveal that? In the public interest, we hope that the Ministry can get the papers to release them.",2,66,2023-07-06-T-002-S-00066
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,"Mdm Deputy Speaker, I thank the Member for his two questions. Maybe I will take the second question first. Mr Ang had asked why were the names of the companies and the staff who were involved in the potential wrongdoing not made public. As Members will know, the matter has been referred to the Police for investigations. SMT has provided all the findings that the ARC submitted to the Board and this full set of findings would have already been made available to the Police. They include the names of the companies and the people involved.",1,67,2023-07-06-T-002-S-00067
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,"So, as far as the ARC's findings were concerned, the Police have full view of it. Nothing that was provided to the Police was redacted.",2,68,2023-07-06-T-002-S-00068
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,"Because it is an ongoing investigation, as to who will eventually have to be held liable under the law, these things will need to take their natural course. It is for the relevant authorities, after they have completed their investigations, to determine what information to publicly disclose and when to do so, so as to not affect the outcome of their investigations. That will be something that has to be left to a later date.",3,69,2023-07-06-T-002-S-00069
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,"Mr Ang asked specifically whether circulation is part of the KPIs. As I explained to Members in February 2023 during the Parliament Sitting and in response to Members' questions, and as I have also alluded to earlier in my response, circulation is a metric that is no longer as relevant. A title that is being circulated in print today can be read by multiple people. And as media move more and more online, it is not so much the circulation that matters. It is the reach. The reach measures how often people come into contact with the contents of a particular title. So, it is reach that is more important.",4,70,2023-07-06-T-002-S-00070
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,"The KPIs, therefore, that we have included in the funding arrangement include the total reach and engagement of SMT's full range of products, with a focus on their digital platforms, because we have to keep in mind that the whole purpose for funding SMT is to ensure that the digital transformation is successful. Therefore, the KPIs must be reached, and, in particular, digital reach.",5,71,2023-07-06-T-002-S-00071
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,"We will, in fact, also ask for specific reach indicators for vernacular groups and youths, because the funding is directed mainly in three areas  the technology upgrade; the talent development, building up the newsrooms; and, very importantly, in terms of how vernacular media continue to be safeguarded. Therefore, the KPIs follow the thrusts of our funding objectives.",6,72,2023-07-06-T-002-S-00072
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,"SMT is required to submit regular reports on their KPI performance, which must also be independently audited, as I mentioned earlier. And if the KPI targets are not met, the amount of funding will be impacted.",7,73,2023-07-06-T-002-S-00073
2023-07-06-T-002,Deputy Speaker,Mdm Deputy Speaker,Mr Yip Hon Weng.,1,74,2023-07-06-T-002-S-00074
2023-07-06-T-002,Yip Hon Weng,Mr Yip Hon Weng (Yio Chu Kang),"Thank you, Madam. I thank the Minister for her reply. I just have a very short supplementary question. I am heartened to hear that SMT is committed to improve its accountability and its risk measures. I just want to ask the Minister whether the Ministry is prepared to consider ring-fencing an amount out of the $900 million funding support for SMT, to strengthen its internal accountability and to prevent incidents from happening in the future.",1,75,2023-07-06-T-002-S-00075
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,"Mdm Deputy Speaker, as I explained in my response to the Member Mr Ang earlier, the thrust of the funding is directed towards talent development, technology upgrade and sustaining vernacular media. We expect that some of the funding will be needed for general purposes.",1,76,2023-07-06-T-002-S-00076
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,"These measures that SMT needs to take obviously require some resource allocation on their part, both in terms of the manpower as well as the management bandwidth. We expect them to manage within the block of funding that is provided to them. As far as possible, we size the funding according to the needs that are most pertinent to successful transformation.",2,77,2023-07-06-T-002-S-00077
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,"Strengthening governance is certainly a big part of it, but we also expect SMT to allocate its own resources accordingly. So, for the time being, there is no specific intention to ring-fence resources for improving governance, but to expect SMT to direct resources towards improving governance. That is part of the expectation.",3,78,2023-07-06-T-002-S-00078
2023-07-06-T-002,Deputy Speaker,Mdm Deputy Speaker,Mr Gerald Giam.,1,79,2023-07-06-T-002-S-00079
2023-07-06-T-002,Gerald Giam Yean Song,Mr Gerald Giam Yean Song (Aljunied),"Thank you, Madam. Madam, the ARC report stated that the X Barter Deal was not a genuine arrangement. The corresponding revenue and expenses should not have been recognised and the corresponding circulation numbers should not have been counted. So, my question is, if it was found that the X Barter Deal was not a genuine arrangement, will there be any investigation into the other media company, which was named as ""X"" in the report, and whether they were also inflating their numbers?",1,80,2023-07-06-T-002-S-00080
2023-07-06-T-002,Gerald Giam Yean Song,Mr Gerald Giam Yean Song (Aljunied),"Secondly, the Minister said that the question of loss of public funds does not arise. But what kind of accountability has been given to the donors and the clients who had contributed to the NIE Fund on the understanding that they were helping the underprivileged in society but were instead used to shore up the circulation figures for SPH?",2,81,2023-07-06-T-002-S-00081
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,"Mdm Deputy Speaker, at this point, we will not be at liberty to disclose the full range of the Police's investigations. Are they specifically looking to establish liability in the context that Mr Giam described? That is for the Police to decide.",1,82,2023-07-06-T-002-S-00082
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,"On the Member's second question on accountability to the donors and the other parties that made resources available to SPH Limited, the purpose of making full disclosure on the findings is precisely to allow these entities to decide if they want to take further action. So, they can, if they choose to. It is not for us to decide on their behalf.",2,83,2023-07-06-T-002-S-00083
2023-07-06-T-002,Deputy Speaker,Mdm Deputy Speaker,Mr Leong Mun Wai.,1,84,2023-07-06-T-002-S-00084
2023-07-06-T-002,Leong Mun Wai,Mr Leong Mun Wai (Non-Constituency Member),"Thank you, Mdm Deputy Speaker. I have two supplementary questions for the Minister.",1,85,2023-07-06-T-002-S-00085
2023-07-06-T-002,Leong Mun Wai,Mr Leong Mun Wai (Non-Constituency Member),"First, when was the first tranche of the public funds paid out to SPH Media Trust? Was it before or after the completion of the audit committee report?",2,86,2023-07-06-T-002-S-00086
2023-07-06-T-002,Leong Mun Wai,Mr Leong Mun Wai (Non-Constituency Member),"Two, can the Minister confirm that the Ministry is not pursuing the responsibility of the past top management of SPH Limited at the moment?",3,87,2023-07-06-T-002-S-00087
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,"Mdm Deputy Speaker, I believe Mr Leong may not have been in the Chamber when I addressed his first question. I can confirm that the Government started disbursing funds to SMT in March 2023. At the time, the ARC had not completed its findings. But the important point to note is that by March 2023, only then, funding arrangements with SMT started, whereas the events in question took place well before March 2023. So, I hope that answers the Member's question.",1,88,2023-07-06-T-002-S-00088
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,The second question is whether there will be further action taken against those who had been involved in this incident. That is a matter for the Police to decide. A Police report has been filed. The Police have commenced investigations. The investigations will have to take its full course and then a decision will be taken.,2,89,2023-07-06-T-002-S-00089
2023-07-06-T-002,Deputy Speaker,Mdm Deputy Speaker,Ms Hany Soh.,1,90,2023-07-06-T-002-S-00090
2023-07-06-T-002,Hany Soh,Ms Hany Soh (Marsiling-Yew Tee),"Thank you, Mdm Deputy Speaker. I have just one supplementary question. Since the revelation of this incident, is MCI keeping track of whether the international standing and the local public's confidence in SMT's products have dipped subsequent to the announcements? And as what the Minister has shared earlier in response to Member Ang Wei Neng, are we seeing the trend of a drop in terms of the reach of their contents and their engagements with the general public at large as well?",1,91,2023-07-06-T-002-S-00091
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,"Mdm Deputy Speaker, I thank Ms Soh for her question. It is a very good one. In my engagements with SMT, they are themselves equally concerned if the level of trust that is ascribed to them by the public suffers a loss as a result of this incident. I believe this is a key consideration why SMT has taken great pains to ensure that it has undertaken a full and thorough investigation. It took pains to make the findings public; it took pains to be quite careful about whether there was a potential offence to have been committed and they decided not to take any chances but, instead, to file a Police report. So, the seriousness of this incident and its potential impact on the levels of trust that the public has in SMT and its titles, are not lost on its Board as well as the management.",1,92,2023-07-06-T-002-S-00092
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,"There is another matter that MCI would be equally concerned with and SMT knows this. Henceforth, SMT is in receipt of public funding. Therefore, its ability to be held accountable will be carefully scrutinised, both by MCI as well as by the public. This accountability in relation to funding will include the extent to which SMT has been successful in its transformation, especially towards digital media. It will also be held accountable for maintaining trust. Therefore, the measures that the Member talked about, not only will MCI track, SMT itself will be interested. We will rely on independent reports, such as those carried out by Reuters Institute, but we will also have our own studies to confirm what these independent resources have established as findings.",2,93,2023-07-06-T-002-S-00093
2023-07-06-T-002,Josephine Teo,Mrs Josephine Teo,"Accountability to the public also extends to improving governance. If you look at the media reports and also in the ARC's findings, there is a significant portion of the reports that cover governance measures. In other words, SMT is well aware that it is one thing to tell people what the findings are; it is quite another to commit to making improvements. And the improvements in governance essentially are to do three things. It is to make sure that bad things do not happen again; it is to ensure that your systems for controls and contracting, pricing have to be cleaned up, made better; and the other aspect of governance that needs to be improved is also the culture – how people view these kinds of things and their willingness to tolerate them or to speak against them.",3,94,2023-07-06-T-002-S-00094
