Topic_CID,Original_MP_Name,MP_Name,Text,Seq,Speech_Order,Speech_CID
2023-07-06-T-013,Gerald Giam Yean Song,Mr Gerald Giam Yean Song (Aljunied),"However, student athletes enrol in mainstream schools encounter constraints when compared to their peers in the Sports School. The fixed timetables in mainstream schools do not cater specifically to athletes, making it difficult for them to undergo long hours of training and overseas competition. While some mainstream schools offer limited flexibility on an individual basis, such as permitting athletes to skip a week of school for international competitions, the time away from lessons eventually takes a toll on their studies. With this reality in play, we should not be surprised that we continue to have a narrow pipeline of world-class athletes.",18,737,2023-07-06-T-013-S-00737
2023-07-06-T-013,Gerald Giam Yean Song,Mr Gerald Giam Yean Song (Aljunied),"The ""academics-first"" approach is one that most Singaporeans have chosen over the years and will continue to choose in the years to come. Given that many high-performance athletes are of school-going age, if nothing is done to shift the youth sports development paradigm, we will continue to see many budding sports stars eventually fizzle out after they complete secondary school.",19,738,2023-07-06-T-013-S-00738
2023-07-06-T-013,Gerald Giam Yean Song,Mr Gerald Giam Yean Song (Aljunied),"How do we shift this paradigm? I would like to offer some suggestions for MCCY, SportSG, NSAs, coaches, schools, parents and student athletes to consider.",20,739,2023-07-06-T-013-S-00739
2023-07-06-T-013,Gerald Giam Yean Song,Mr Gerald Giam Yean Song (Aljunied),"First, given how important academics are to Singaporeans, it is not fruitful to try to persuade them to choose sports over studies. We should, therefore, explore pathways that allow student athletes to pursue both their studies and sports at the highest level. This is possible through what is known as the college pathway.",21,740,2023-07-06-T-013-S-00740
2023-07-06-T-013,Gerald Giam Yean Song,Mr Gerald Giam Yean Song (Aljunied),"Most universities in the United States are members of the National Collegiate Athletic Association, or NCAA. There are three divisions in these sports.",22,741,2023-07-06-T-013-S-00741
2023-07-06-T-013,Gerald Giam Yean Song,Mr Gerald Giam Yean Song (Aljunied),"The top tier, known as Division I, runs inter-collegiate championships in 13 male and 13 female sports, including swimming, soccer, track and field, tennis, golf, water polo, field hockey, basketball, volleyball and diving. Many of these are popular sports in Singapore which our athletes compete in during major games, like the SEA Games, Asian Games and the Olympics.",23,742,2023-07-06-T-013-S-00742
2023-07-06-T-013,Gerald Giam Yean Song,Mr Gerald Giam Yean Song (Aljunied),College sports is huge in the US and has a television audience comparable to the top professional team sports. This popularity attracts commercial sponsors and television licensing rights and is a huge revenue earner for some universities to the tune of some US$30 million a year.,24,743,2023-07-06-T-013-S-00743
2023-07-06-T-013,Gerald Giam Yean Song,Mr Gerald Giam Yean Song (Aljunied),"The quality of college sports in the US is so high that many of the best junior athletes from all over the world, including Europe, Australia and China, vie for the opportunity to study in these universities on full athletics scholarships while competing in their sport. Many of these universities have students that win more international championships than many small nations. The University of Southern California, for example, had 65 past, present or incoming student athletes competing in the 2020 Tokyo Olympics, compared to 23 from Singapore. USC athletes collectively won 11 gold medals in those games.",25,744,2023-07-06-T-013-S-00744
2023-07-06-T-013,Gerald Giam Yean Song,Mr Gerald Giam Yean Song (Aljunied),"Many of the top performing universities in inter-collegiate sports are also top-ranked academic institutions. They include Stanford UC Berkeley, Duke University of Michigan, UCLA and USC. Harvard, Princeton, UPenn and other Ivy League universities are also NCAA Division I members. In fact, the Ivy league is a Collegiate Athletic Conference comprising eight schools in northeastern US, although it is more commonly used to refer to academically elite American universities.",26,745,2023-07-06-T-013-S-00745
2023-07-06-T-013,Gerald Giam Yean Song,Mr Gerald Giam Yean Song (Aljunied),"Division I athletes are sometimes offered ""full-ride"" athletics scholarships. These can cover tuition fees, housing, meals, transport, apparel, equipment coaching, sports science expertise and even academic tutoring for the athletes. By pursuing the college pathway, more Singaporean student athletes can have the opportunity to benefit from the best of both worlds, a top-quality university education and elite level competition in their sport.",27,746,2023-07-06-T-013-S-00746
2023-07-06-T-013,Gerald Giam Yean Song,Mr Gerald Giam Yean Song (Aljunied),College sports can be a springboard to the professional leagues after graduation.,28,747,2023-07-06-T-013-S-00747
2023-07-06-T-013,Gerald Giam Yean Song,Mr Gerald Giam Yean Song (Aljunied),"Several Singaporeans who competed for US colleges returned to represent Singapore in major games. These include swimmer Joseph Schooling who graduated from the University of Texas at Austin; golfer Hailey Loh, who is studying in California Baptist University and our Parliamentary colleague, the hon Member Mark Chay, who graduated from Brigham Young University.",29,748,2023-07-06-T-013-S-00748
2023-07-06-T-013,Gerald Giam Yean Song,Mr Gerald Giam Yean Song (Aljunied),"Even those who do not ultimately make it into an American university, the disciplined focus in both academics and sports through the secondary school years will better prepare student athletes to enter our local polytechnics and universities.",30,749,2023-07-06-T-013-S-00749
2023-07-06-T-013,Gerald Giam Yean Song,Mr Gerald Giam Yean Song (Aljunied),"Athletes are also much sought after by many companies after they graduate because many employers recognise that athletes' discipline, drive and good time management skills are among the many valuable skills that they bring to the workplace.",31,750,2023-07-06-T-013-S-00750
2023-07-06-T-013,Gerald Giam Yean Song,Mr Gerald Giam Yean Song (Aljunied),"Despite the attractiveness of the college pathway, there appears to be a lack of awareness about it among many student athletes and their parents about the steps they need to take to pursue it.",32,751,2023-07-06-T-013-S-00751
