date,member_name,is_present
2023-03-21,Cheryl Chan Wei Ling,False
2023-03-21,Chua Kheng Wee Louis,False
2023-03-21,Grace Fu Hai Yien,False
2023-03-21,Koh Lian Pin,False
2023-03-21,Leong Mun Wai,False
2023-03-21,Low Yen Ling,False
2023-03-21,Mariam Jaafar,False
2023-03-21,Mohamad Maliki Bin Osman,False
2023-03-21,Mohd Fahmi Aliman,False
2023-03-21,Muhamad Faisal Bin Abdul Manap,False
2023-03-21,Murali Pillai,False
2023-03-21,Ng Eng Hen,False
2023-03-21,Tan Yia Swam,False
2023-03-21,Patrick Tay Teck Guan,False
2023-03-21,Tharman Shanmugaratnam,False
2023-03-21,Xie Yao Quan,False
2023-03-21,Yeo Wan Ling,False
2023-03-21,Tan Chuan-Jin,True
2023-03-21,Abdul Samad,True
2023-03-21,Janet Ang,True
2023-03-21,Ang Wei Neng,True
2023-03-21,Baey Yam Keng,True
2023-03-21,Chan Chun Sing,True
2023-03-21,Mark Chay,True
2023-03-21,Chee Hong Tat,True
2023-03-21,Cheng Hsing Yao,True
2023-03-21,Cheng Li Hui,True
2023-03-21,Edward Chia Bing Hui,True
2023-03-21,Chong Kee Hiong,True
2023-03-21,Desmond Choo,True
2023-03-21,Eric Chua,True
2023-03-21,Darryl David,True
2023-03-21,Christopher de Souza,True
2023-03-21,Foo Mee Har,True
2023-03-21,Gan Kim Yong,True
2023-03-21,Gan Siow Huang,True
2023-03-21,Gan Thiam Poh,True
2023-03-21,Gerald Giam Yean Song,True
2023-03-21,Derrick Goh,True
2023-03-21,He Ting Ru,True
2023-03-21,Heng Chee How,True
2023-03-21,Heng Swee Keat,True
2023-03-21,Hoon Hian Teck,True
2023-03-21,Shawn Huang Wei Zhong,True
2023-03-21,Indranee Rajah,True
2023-03-21,S Iswaran,True
2023-03-21,Janil Puthucheary,True
2023-03-21,Amy Khor Lean Suan,True
2023-03-21,Koh Poh Koon,True
2023-03-21,Kwek Hian Chuan Henry,True
2023-03-21,Desmond Lee,True
2023-03-21,Lee Hsien Loong,True
2023-03-21,Liang Eng Hwa,True
2023-03-21,Lim Biow Chuan,True
2023-03-21,Jamus Jerome Lim,True
2023-03-21,Sylvia Lim,True
2023-03-21,Lim Wee Kiak,True
2023-03-21,Masagos Zulkifli B M M,True
2023-03-21,Dr Muhammad Faishal Ibrahim,True
2023-03-21,Nadia Ahmad Samdin,True
2023-03-21,Louis Ng Kok Kwang,True
2023-03-21,Ng Ling Ling,True
2023-03-21,Rachel Ong,True
2023-03-21,Ong Ye Kung,True
2023-03-21,Joan Pereira,True
2023-03-21,Leon Perera,True
2023-03-21,Denise Phua Lay Peng,True
2023-03-21,Hazel Poa,True
2023-03-21,Poh Li San,True
2023-03-21,Pritam Singh,True
2023-03-21,Rahayu Mahzam,True
2023-03-21,Saktiandi Supaat,True
2023-03-21,Seah Kian Peng,True
2023-03-21,Shahira Abdullah,True
2023-03-21,K Shanmugam,True
2023-03-21,Sharael Taha,True
2023-03-21,Sim Ann,True
2023-03-21,Sitoh Yih Pin,True
2023-03-21,Hany Soh,True
2023-03-21,Sun Xueling,True
2023-03-21,Alvin Tan,True
2023-03-21,Carrie Tan,True
2023-03-21,Desmond Tan,True
2023-03-21,Tan Kiat How,True
2023-03-21,Dennis Tan Lip Fong,True
2023-03-21,Tan See Leng,True
2023-03-21,Jessica Tan Soon Neo,True
2023-03-21,Tan Wu Meng,True
2023-03-21,Teo Chee Hean,True
2023-03-21,Josephine Teo,True
2023-03-21,Raj Joshua Thomas,True
2023-03-21,Tin Pei Ling,True
2023-03-21,Edwin Tong Chun Fai,True
2023-03-21,Vikram Nair,True
2023-03-21,Vivian Balakrishnan,True
2023-03-21,Wan Rizal,True
2023-03-21,Don Wee,True
2023-03-21,Lawrence Wong,True
2023-03-21,Alex Yam,True
2023-03-21,Yip Hon Weng,True
2023-03-21,Melvin Yong Yik Chye,True
2023-03-21,Zaqy Mohamad,True
2023-03-21,Zhulkarnain Abdul Rahim,True
