Date,MP_Name,Original_MP_Name,Attendance
2020-05-26,Charles Chong,"Mr Charles Chong (Punggol East), Deputy Speaker.",False
2020-05-26,Fatimah Lateef,Prof Fatimah Lateef (Marine Parade).,False
2020-05-26,Lim Swee Say,Mr Lim Swee Say (East Coast).,False
2020-05-26,Low Thia Khiang,Mr Low Thia Khiang (Aljunied).,False
2020-05-26,Irene Quay Siew Ching,Ms Irene Quay Siew Ching (Nominated Member).,False
2020-05-26,Tan Chuan-Jin,Mr SPEAKER (Mr Tan Chuan-Jin (Marine Parade)). ,True
2020-05-26,Amrin Amin,"Mr Amrin Amin (Sembawang), Senior Parliamentary Secretary to the Ministers for Health and Home Affairs. ",True
2020-05-26,Ang Hin Kee,Mr Ang Hin Kee (Ang Mo Kio). ,True
2020-05-26,Ang Wei Neng,Mr Ang Wei Neng (Jurong). ,True
2020-05-26,Baey Yam Keng,"Mr Baey Yam Keng (Tampines), Senior Parliamentary Secretary to the Ministers for Culture, Community and Youth and Transport. ",True
2020-05-26,Chan Chun Sing,"Mr Chan Chun Sing (Tanjong Pagar), Minister for Trade and Industry. ",True
2020-05-26,Cheryl Chan Wei Ling,Miss Cheryl Chan Wei Ling (Fengshan). ,True
2020-05-26,Chee Hong Tat,"Mr Chee Hong Tat (Bishan-Toa Payoh), Senior Minister of State for Education and Trade and Industry. ",True
2020-05-26,Chen Show Mao,Mr Chen Show Mao (Aljunied). ,True
2020-05-26,Cheng Li Hui,Miss Cheng Li Hui (Tampines). ,True
2020-05-26,Chia Shi-Lu,Dr Chia Shi-Lu (Tanjong Pagar). ,True
2020-05-26,Chong Kee Hiong,Mr Chong Kee Hiong (Bishan-Toa Payoh). ,True
2020-05-26,Desmond Choo,Mr Desmond Choo (Tampines). ,True
2020-05-26,Darryl David,Mr Darryl David (Ang Mo Kio). ,True
2020-05-26,Christopher de Souza,Mr Christopher de Souza (Holland-Bukit Timah). ,True
2020-05-26,Arasu Duraisamy,Mr Arasu Duraisamy (Nominated Member). ,True
2020-05-26,Cedric Foo Chee Keng,Mr Cedric Foo Chee Keng (Pioneer). ,True
2020-05-26,Douglas Foo,Mr Douglas Foo (Nominated Member). ,True
2020-05-26,Foo Mee Har,Ms Foo Mee Har (West Coast). ,True
2020-05-26,Grace Fu Hai Yien,"Ms Grace Fu Hai Yien (Yuhua), Minister for Culture, Community and Youth and Leader of the House. ",True
2020-05-26,Gan Kim Yong,"Mr Gan Kim Yong (Chua Chu Kang), Minister for Health. ",True
2020-05-26,Gan Thiam Poh,Mr Gan Thiam Poh (Ang Mo Kio). ,True
2020-05-26,Goh Chok Tong,Mr Goh Chok Tong (Marine Parade). ,True
2020-05-26,Daniel Goh Pei Siong,Assoc Prof Daniel Goh Pei Siong (Non-Constituency Member). ,True
2020-05-26,Heng Chee How,"Mr Heng Chee How (Jalan Besar), Senior Minister of State for Defence. ",True
2020-05-26,Heng Swee Keat,"Mr Heng Swee Keat (Tampines), Deputy Prime Minister and Minister for Finance. ",True
2020-05-26,Terence Ho Wee San,Mr Terence Ho Wee San (Nominated Member). ,True
2020-05-26,Indranee Rajah,"Ms Indranee Rajah (Tanjong Pagar), Minister, Prime Minister's Office and Second Minister for Education and Finance. ",True
2020-05-26,Intan Azura Mokhtar,Dr Intan Azura Mokhtar (Ang Mo Kio). ,True
2020-05-26,S Iswaran,"Mr S Iswaran (West Coast), Minister for Communications and Information and Minister-in-charge of Trade Relations. ",True
2020-05-26,Janil Puthucheary,"Dr Janil Puthucheary (Pasir Ris-Punggol), Senior Minister of State for Communications and Information and Transport and Government Whip. ",True
2020-05-26,Khaw Boon Wan,"Mr Khaw Boon Wan (Sembawang), Coordinating Minister for Infrastructure and Minister for Transport. ",True
2020-05-26,Amy Khor Lean Suan,"Dr Amy Khor Lean Suan (Hong Kah North), Senior Minister of State for the Environment and Water Resources and Health. ",True
2020-05-26,Koh Poh Koon,"Dr Koh Poh Koon (Ang Mo Kio), Senior Minister of State for Trade and Industry. ",True
2020-05-26,Kwek Hian Chuan Henry,Mr Kwek Hian Chuan Henry (Nee Soon). ,True
2020-05-26,Lam Pin Min,"Dr Lam Pin Min (Sengkang West), Senior Minister of State for Health and Transport. ",True
2020-05-26,Lee Bee Wah,Er Dr Lee Bee Wah (Nee Soon). ,True
2020-05-26,Desmond Lee,"Mr Desmond Lee (Jurong), Minister for Social and Family Development and Second Minister for National Development and Deputy Leader of the House. ",True
2020-05-26,Lee Hsien Loong,"Mr Lee Hsien Loong (Ang Mo Kio), Prime Minister. ",True
2020-05-26,Lee Yi Shyan,Mr Lee Yi Shyan (East Coast). ,True
2020-05-26,Liang Eng Hwa,Mr Liang Eng Hwa (Holland-Bukit Timah). ,True
2020-05-26,Lim Biow Chuan,"Mr Lim Biow Chuan (Mountbatten), Deputy Speaker. ",True
2020-05-26,Lim Hng Kiang,Mr Lim Hng Kiang (West Coast). ,True
2020-05-26,Lim Sun Sun,Prof Lim Sun Sun (Nominated Member). ,True
