Date,MP_Name,Original_MP_Name,Attendance
2016-03-01,Cheng Li Hui,Miss Cheng Li Hui (Tampines).,False
2016-03-01,Chia Shi-Lu,Dr Chia Shi-Lu (Tanjong Pagar).,False
2016-03-01,Fatimah Lateef,Assoc Prof Fatimah Lateef (Marine Parade).,False
2016-03-01,S Iswaran,"Mr S Iswaran (West Coast), Minister for Trade and Industry (Industry).",False
2016-03-01,Janil Puthucheary,"Dr Janil Puthucheary (Pasir Ris-Punggol), Minister of State for Communications and Information and Education.",False
2016-03-01,David Ong,Mr David Ong (Bukit Batok).,False
2016-03-01,Josephine Teo,"Mrs Josephine Teo (Bishan-Toa Payoh), Senior Minister of State, Prime Minister's Office and Senior Minister of State for Foreign Affairs and Transport.",False
2016-03-01,Edwin Tong Chun Fai,Mr Edwin Tong Chun Fai (Marine Parade).,False
2016-03-01,Vivian Balakrishnan,"Dr Vivian Balakrishnan (Holland-Bukit Timah), Minister for Foreign Affairs.",False
2016-03-01,Halimah Yacob,Mdm SPEAKER (Mdm Halimah Yacob (Marsiling-Yew Tee)). ,True
2016-03-01,Amrin Amin,"Mr Amrin Amin (Sembawang), Parliamentary Secretary to the Minister for Home Affairs. ",True
2016-03-01,Ang Hin Kee,Mr Ang Hin Kee (Ang Mo Kio). ,True
2016-03-01,Ang Wei Neng,Mr Ang Wei Neng (Jurong). ,True
2016-03-01,Baey Yam Keng,"Mr Baey Yam Keng (Tampines), Parliamentary Secretary to the Minister for Culture, Community and Youth. ",True
2016-03-01,Chan Chun Sing,"Mr Chan Chun Sing (Tanjong Pagar), Minister, Prime Minister's Office and Government Whip. ",True
2016-03-01,Cheryl Chan Wei Ling,Miss Cheryl Chan Wei Ling (Fengshan). ,True
2016-03-01,Chee Hong Tat,"Mr Chee Hong Tat (Bishan-Toa Payoh), Minister of State for Communications and Information and Health. ",True
2016-03-01,Chen Show Mao,Mr Chen Show Mao (Aljunied). ,True
2016-03-01,Charles Chong,"Mr Charles Chong (Punggol East), Deputy Speaker. ",True
2016-03-01,Chong Kee Hiong,Mr Chong Kee Hiong (Bishan-Toa Payoh). ,True
2016-03-01,Desmond Choo,Mr Desmond Choo (Tampines). ,True
2016-03-01,Darryl David,Mr Darryl David (Ang Mo Kio). ,True
2016-03-01,Christopher de Souza,Mr Christopher de Souza (Holland-Bukit Timah). ,True
2016-03-01,Cedric Foo Chee Keng,Mr Cedric Foo Chee Keng (Pioneer). ,True
2016-03-01,Foo Mee Har,Ms Foo Mee Har (West Coast). ,True
2016-03-01,Grace Fu Hai Yien,"Ms Grace Fu Hai Yien (Yuhua), Minister for Culture, Community and Youth and Leader of the House. ",True
2016-03-01,Gan Kim Yong,"Mr Gan Kim Yong (Chua Chu Kang), Minister for Health. ",True
2016-03-01,Gan Thiam Poh,Mr Gan Thiam Poh (Ang Mo Kio). ,True
2016-03-01,Goh Chok Tong,Mr Goh Chok Tong (Marine Parade). ,True
2016-03-01,Daniel Goh Pei Siong,Assoc Prof Daniel Goh Pei Siong (Non-Constituency Member). ,True
2016-03-01,Heng Chee How,"Mr Heng Chee How (Jalan Besar), Senior Minister of State, Prime Minister's Office. ",True
2016-03-01,Heng Swee Keat,"Mr Heng Swee Keat (Tampines), Minister for Finance. ",True
2016-03-01,Indranee Rajah,"Ms Indranee Rajah (Tanjong Pagar), Senior Minister of State for Finance and Law. ",True
2016-03-01,Intan Azura Mokhtar,Dr Intan Azura Mokhtar (Ang Mo Kio). ,True
2016-03-01,Khaw Boon Wan,"Mr Khaw Boon Wan (Sembawang), Coordinating Minister for Infrastructure and Minister for Transport. ",True
2016-03-01,Amy Khor Lean Suan,"Dr Amy Khor Lean Suan (Hong Kah North), Senior Minister of State for Health and the Environment and Water Resources. ",True
2016-03-01,Koh Poh Koon,"Dr Koh Poh Koon (Ang Mo Kio), Minister of State for National Development and Trade and Industry. ",True
2016-03-01,Kwek Hian Chuan Henry,Mr Kwek Hian Chuan Henry (Nee Soon). ,True
2016-03-01,Lam Pin Min,"Dr Lam Pin Min (Sengkang West), Minister of State for Health. ",True
2016-03-01,Lee Bee Wah,Er Dr Lee Bee Wah (Nee Soon). ,True
2016-03-01,Desmond Lee,"Mr Desmond Lee (Jurong), Senior Minister of State for Home Affairs and National Development and Deputy Leader of the House. ",True
2016-03-01,Lee Hsien Loong,"Mr Lee Hsien Loong (Ang Mo Kio), Prime Minister. ",True
2016-03-01,Lee Yi Shyan,Mr Lee Yi Shyan (East Coast). ,True
2016-03-01,Liang Eng Hwa,Mr Liang Eng Hwa (Holland-Bukit Timah). ,True
2016-03-01,Lim Biow Chuan,"Mr Lim Biow Chuan (Mountbatten), Deputy Speaker. ",True
