Date,MP_Name,Original_MP_Name,Attendance
2017-08-01,Chia Yong Yong,Ms Chia Yong Yong (Nominated Member).,False
2017-08-01,Darryl David,Mr Darryl David (Ang Mo Kio).,False
2017-08-01,Koh Poh Koon,"Dr Koh Poh Koon (Ang Mo Kio), Senior Minister of State for National Development and Trade and Industry.",False
2017-08-01,Kok Heng Leun,Mr Kok Heng Leun (Nominated Member).,False
2017-08-01,Kuik Shiao-Yin,Ms Kuik Shiao-Yin (Nominated Member).,False
2017-08-01,Kwek Hian Chuan Henry,Mr Kwek Hian Chuan Henry (Nee Soon).,False
2017-08-01,Ng Chee Meng,"Mr Ng Chee Meng (Pasir Ris-Punggol), Minister for Education (Schools) and Second Minister for Transport.",False
2017-08-01,Sun Xueling,Ms Sun Xueling (Pasir Ris-Punggol).,False
2017-08-01,Edwin Tong Chun Fai,Mr Edwin Tong Chun Fai (Marine Parade).,False
2017-08-01,Halimah Yacob,Mdm SPEAKER (Mdm Halimah Yacob (Marsiling-Yew Tee)). ,True
2017-08-01,Amrin Amin,"Mr Amrin Amin (Sembawang), Parliamentary Secretary to the Minister for Health and Home Affairs. ",True
2017-08-01,Ang Hin Kee,Mr Ang Hin Kee (Ang Mo Kio). ,True
2017-08-01,Ang Wei Neng,Mr Ang Wei Neng (Jurong). ,True
2017-08-01,Azmoon Ahmad,Mr Azmoon Ahmad (Nominated Member). ,True
2017-08-01,Baey Yam Keng,"Mr Baey Yam Keng (Tampines), Parliamentary Secretary to the Minister for Culture, Community and Youth. ",True
2017-08-01,Chan Chun Sing,"Mr Chan Chun Sing (Tanjong Pagar), Minister, Prime Minister's Office and Government Whip. ",True
2017-08-01,Cheryl Chan Wei Ling,Miss Cheryl Chan Wei Ling (Fengshan). ,True
2017-08-01,Chee Hong Tat,"Mr Chee Hong Tat (Bishan-Toa Payoh), Senior Minister of State for Communications and Information and Health. ",True
2017-08-01,Chen Show Mao,Mr Chen Show Mao (Aljunied). ,True
2017-08-01,Cheng Li Hui,Miss Cheng Li Hui (Tampines). ,True
2017-08-01,Chia Shi-Lu,Dr Chia Shi-Lu (Tanjong Pagar). ,True
2017-08-01,Charles Chong,"Mr Charles Chong (Punggol East), Deputy Speaker. ",True
2017-08-01,Chong Kee Hiong,Mr Chong Kee Hiong (Bishan-Toa Payoh). ,True
2017-08-01,Desmond Choo,Mr Desmond Choo (Tampines). ,True
2017-08-01,Thomas Chua Kee Seng,Mr Thomas Chua Kee Seng (Nominated Member). ,True
2017-08-01,Christopher de Souza,Mr Christopher de Souza (Holland-Bukit Timah). ,True
2017-08-01,Fatimah Lateef,Assoc Prof Fatimah Lateef (Marine Parade). ,True
2017-08-01,Cedric Foo Chee Keng,Mr Cedric Foo Chee Keng (Pioneer). ,True
2017-08-01,Foo Mee Har,Ms Foo Mee Har (West Coast). ,True
2017-08-01,Grace Fu Hai Yien,"Ms Grace Fu Hai Yien (Yuhua), Minister for Culture, Community and Youth and Leader of the House. ",True
2017-08-01,Gan Kim Yong,"Mr Gan Kim Yong (Chua Chu Kang), Minister for Health. ",True
2017-08-01,Gan Thiam Poh,Mr Gan Thiam Poh (Ang Mo Kio). ,True
2017-08-01,Ganesh Rajaram,Mr Ganesh Rajaram (Nominated Member). ,True
2017-08-01,Goh Chok Tong,Mr Goh Chok Tong (Marine Parade). ,True
2017-08-01,Daniel Goh Pei Siong,Assoc Prof Daniel Goh Pei Siong (Non-Constituency Member). ,True
2017-08-01,Heng Chee How,"Mr Heng Chee How (Jalan Besar), Senior Minister of State, Prime Minister's Office. ",True
2017-08-01,Heng Swee Keat,"Mr Heng Swee Keat (Tampines), Minister for Finance. ",True
2017-08-01,Indranee Rajah,"Ms Indranee Rajah (Tanjong Pagar), Senior Minister of State for Finance and Law. ",True
2017-08-01,Intan Azura Mokhtar,Dr Intan Azura Mokhtar (Ang Mo Kio). ,True
2017-08-01,S Iswaran,"Mr S Iswaran (West Coast), Minister for Trade and Industry (Industry). ",True
2017-08-01,Janil Puthucheary,"Dr Janil Puthucheary (Pasir Ris-Punggol), Senior Minister of State for Communications and Information and Education. ",True
2017-08-01,Khaw Boon Wan,"Mr Khaw Boon Wan (Sembawang), Coordinating Minister for Infrastructure and Minister for Transport. ",True
2017-08-01,Amy Khor Lean Suan,"Dr Amy Khor Lean Suan (Hong Kah North), Senior Minister of State for Health and the Environment and Water Resources. ",True
2017-08-01,Lam Pin Min,"Dr Lam Pin Min (Sengkang West), Senior Minister of State for Health and Transport. ",True
2017-08-01,Lee Bee Wah,Er Dr Lee Bee Wah (Nee Soon). ,True
2017-08-01,Desmond Lee,"Mr Desmond Lee (Jurong), Minister, Prime Minister's Office, Second Minister for Home Affairs and National Development and Deputy Leader of the House. ",True
2017-08-01,Lee Hsien Loong,"Mr Lee Hsien Loong (Ang Mo Kio), Prime Minister. ",True
2017-08-01,Lee Yi Shyan,Mr Lee Yi Shyan (East Coast). ,True
2017-08-01,Liang Eng Hwa,Mr Liang Eng Hwa (Holland-Bukit Timah). ,True
2017-08-01,Lim Biow Chuan,"Mr Lim Biow Chuan (Mountbatten), Deputy Speaker. ",True
2017-08-01,Lim Hng Kiang,"Mr Lim Hng Kiang (West Coast), Minister for Trade and Industry (Trade). ",True
2017-08-01,Lim Swee Say,"Mr Lim Swee Say (East Coast), Minister for Manpower. ",True
2017-08-01,Sylvia Lim,Ms Sylvia Lim (Aljunied). ,True
2017-08-01,Lim Wee Kiak,Dr Lim Wee Kiak (Sembawang). ,True
2017-08-01,Low Thia Khiang,Mr Low Thia Khiang (Aljunied). ,True
2017-08-01,Low Yen Ling,"Ms Low Yen Ling (Chua Chu Kang), Senior Parliamentary Secretary to the Ministers for Trade and Industry and Education. ",True
2017-08-01,Mahdev Mohan,Asst Prof Mahdev Mohan (Nominated Member). ,True
2017-08-01,Masagos Zulkifli B M M,"Mr Masagos Zulkifli B M M (Tampines), Minister for the Environment and Water Resources. ",True
2017-08-01,Mohamad Maliki Bin Osman,"Dr Mohamad Maliki Bin Osman (East Coast), Senior Minister of State for Defence and Foreign Affairs. ",True
2017-08-01,Muhamad Faisal Bin Abdul Manap,Mr Muhamad Faisal Bin Abdul Manap (Aljunied). ,True
