Date,MP_Name,Original_MP_Name,Attendance
2014-08-05,Sitoh Yih Pin,Mr Sitoh Yih Pin (Potong Pasir).,False
2014-08-05,Teo Siong Seng,Mr Teo Siong Seng (Nominated Member).,False
2014-08-05,Tin Pei Ling,Ms Tin Pei Ling (Marine Parade).,False
2014-08-05,Yeo Guat Kwang,Mr Yeo Guat Kwang (Ang Mo Kio).,False
2014-08-05,Zainudin Nordin,Mr Zainudin Nordin (Bishan-Toa Payoh).,False
2014-08-05,Halimah Yacob,Mdm SPEAKER (Mdm Halimah Yacob (Jurong)). ,True
2014-08-05,Ang Hin Kee,Mr Ang Hin Kee (Ang Mo Kio). ,True
2014-08-05,Ang Wei Neng,Mr Ang Wei Neng (Jurong). ,True
2014-08-05,Baey Yam Keng,Mr Baey Yam Keng (Tampines). ,True
2014-08-05,Chan Chun Sing,"Mr Chan Chun Sing (Tanjong Pagar), Minister for Social and Family Development and Second Minister for Defence. ",True
2014-08-05,Chen Show Mao,Mr Chen Show Mao (Aljunied). ,True
2014-08-05,Chia Shi-Lu,Dr Chia Shi-Lu (Tanjong Pagar). ,True
2014-08-05,Lina Chiam,Mrs Lina Chiam (Non-Constituency Member). ,True
2014-08-05,Charles Chong,"Mr Charles Chong (Joo Chiat), Deputy Speaker. ",True
2014-08-05,Christopher de Souza,Mr Christopher de Souza (Holland-Bukit Timah). ,True
2014-08-05,R Dhinakaran,Mr R Dhinakaran (Nominated Member). ,True
2014-08-05,Faizah Jamal,Ms Faizah Jamal (Nominated Member). ,True
2014-08-05,Nicholas Fang,Mr Nicholas Fang (Nominated Member). ,True
2014-08-05,Fatimah Lateef,Assoc Prof Fatimah Lateef (Marine Parade). ,True
2014-08-05,Arthur Fong,Mr Arthur Fong (West Coast). ,True
2014-08-05,Cedric Foo Chee Keng,Mr Cedric Foo Chee Keng (Pioneer). ,True
2014-08-05,Foo Mee Har,Ms Foo Mee Har (West Coast). ,True
2014-08-05,Grace Fu Hai Yien,"Ms Grace Fu Hai Yien (Yuhua), Minister, Prime Minister's Office, Second Minister for the Environment and Water Resources and Second Minister for Foreign Affairs. ",True
2014-08-05,Gan Kim Yong,"Mr Gan Kim Yong (Chua Chu Kang), Minister for Health and Government Whip. ",True
2014-08-05,Gan Thiam Poh,Mr Gan Thiam Poh (Pasir Ris-Punggol). ,True
2014-08-05,Gerald Giam Yean Song,Mr Gerald Giam Yean Song (Non-Constituency Member). ,True
2014-08-05,Goh Chok Tong,Mr Goh Chok Tong (Marine Parade). ,True
2014-08-05,Hawazi Daipi,"Mr Hawazi Daipi (Sembawang), Senior Parliamentary Secretary to the Minister for Education and Minister for Manpower. ",True
2014-08-05,Heng Chee How,"Mr Heng Chee How (Whampoa), Senior Minister of State, Prime Minister's Office and Deputy Leader of the House. ",True
2014-08-05,Heng Swee Keat,"Mr Heng Swee Keat (Tampines), Minister for Education. ",True
2014-08-05,Hri Kumar Nair,Mr Hri Kumar Nair (Bishan-Toa Payoh). ,True
