Date,MP_Name,Original_MP_Name,Attendance
2017-03-10,Halimah Yacob,Mdm SPEAKER (Mdm Halimah Yacob (Marsiling-Yew Tee)).,True
2017-03-10,Amrin Amin,"Mr Amrin Amin (Sembawang), Parliamentary Secretary to the Minister for Home Affairs.",True
2017-03-10,Ang Hin Kee,Mr Ang Hin Kee (Ang Mo Kio).,True
2017-03-10,Ang Wei Neng,Mr Ang Wei Neng (Jurong).,True
2017-03-10,Baey Yam Keng,"Mr Baey Yam Keng (Tampines), Parliamentary Secretary to the Minister for Culture, Community and Youth.",True
2017-03-10,Chan Chun Sing,"Mr Chan Chun Sing (Tanjong Pagar), Minister, Prime Minister's Office and Government Whip.",True
2017-03-10,Cheryl Chan Wei Ling,Miss Cheryl Chan Wei Ling (Fengshan).,True
2017-03-10,Chee Hong Tat,"Mr Chee Hong Tat (Bishan-Toa Payoh), Minister of State for Communications and Information and Health.",True
2017-03-10,Chen Show Mao,Mr Chen Show Mao (Aljunied).,True
2017-03-10,Cheng Li Hui,Miss Cheng Li Hui (Tampines).,True
2017-03-10,Chia Shi-Lu,Dr Chia Shi-Lu (Tanjong Pagar).,True
2017-03-10,Chia Yong Yong,Ms Chia Yong Yong (Nominated Member).,True
2017-03-10,Charles Chong,"Mr Charles Chong (Punggol East), Deputy Speaker.",True
2017-03-10,Desmond Choo,Mr Desmond Choo (Tampines).,True
2017-03-10,Thomas Chua Kee Seng,Mr Thomas Chua Kee Seng (Nominated Member).,True
2017-03-10,Darryl David,Mr Darryl David (Ang Mo Kio).,True
2017-03-10,Christopher de Souza,Mr Christopher de Souza (Holland-Bukit Timah).,True
2017-03-10,Fatimah Lateef,Assoc Prof Fatimah Lateef (Marine Parade).,True
2017-03-10,Cedric Foo Chee Keng,Mr Cedric Foo Chee Keng (Pioneer).,True
2017-03-10,Foo Mee Har,Ms Foo Mee Har (West Coast).,True
2017-03-10,Grace Fu Hai Yien,"Ms Grace Fu Hai Yien (Yuhua), Minister for Culture, Community and Youth and Leader of the House.",True
2017-03-10,Gan Kim Yong,"Mr Gan Kim Yong (Chua Chu Kang), Minister for Health.",True
2017-03-10,Gan Thiam Poh,Mr Gan Thiam Poh (Ang Mo Kio).,True
2017-03-10,Ganesh Rajaram,Mr Ganesh Rajaram (Nominated Member).,True
2017-03-10,Goh Chok Tong,Mr Goh Chok Tong (Marine Parade).,True
2017-03-10,Daniel Goh Pei Siong,Assoc Prof Daniel Goh Pei Siong (Non-Constituency Member).,True
2017-03-10,Heng Chee How,"Mr Heng Chee How (Jalan Besar), Senior Minister of State, Prime Minister's Office.",True
2017-03-10,Heng Swee Keat,"Mr Heng Swee Keat (Tampines), Minister for Finance.",True
2017-03-10,Indranee Rajah,"Ms Indranee Rajah (Tanjong Pagar), Senior Minister of State for Finance and Law.",True
2017-03-10,Intan Azura Mokhtar,Dr Intan Azura Mokhtar (Ang Mo Kio).,True
2017-03-10,S Iswaran,"Mr S Iswaran (West Coast), Minister for Trade and Industry (Industry).",True
2017-03-10,Janil Puthucheary,"Dr Janil Puthucheary (Pasir Ris-Punggol), Minister of State for Communications and Information and Education.",True
2017-03-10,Khaw Boon Wan,"Mr Khaw Boon Wan (Sembawang), Coordinating Minister for Infrastructure and Minister for Transport.",True
2017-03-10,Amy Khor Lean Suan,"Dr Amy Khor Lean Suan (Hong Kah North), Senior Minister of State for Health and the Environment and Water Resources.",True
2017-03-10,Koh Poh Koon,"Dr Koh Poh Koon (Ang Mo Kio), Minister of State for National Development and Trade and Industry.",True
2017-03-10,Kuik Shiao-Yin,Ms Kuik Shiao-Yin (Nominated Member).,True
2017-03-10,Kwek Hian Chuan Henry,Mr Kwek Hian Chuan Henry (Nee Soon).,True
2017-03-10,Lam Pin Min,"Dr Lam Pin Min (Sengkang West), Minister of State for Health.",True
