Date,MP_Name,Original_MP_Name,Attendance
2016-04-12,Azmoon Ahmad,Mr Azmoon Ahmad (Nominated Member).,False
2016-04-12,Cedric Foo Chee Keng,Mr Cedric Foo Chee Keng (Pioneer).,False
2016-04-12,K Shanmugam,"Mr K Shanmugam (Nee Soon), Minister for Home Affairs and Minister for Law.",False
2016-04-12,Jessica Tan Soon Neo,Ms Jessica Tan Soon Neo (East Coast).,False
2016-04-12,Tharman Shanmugaratnam,"Mr Tharman Shanmugaratnam (Jurong), Deputy Prime Minister and Coordinating Minister for Economic and Social Policies.",False
2016-04-12,Halimah Yacob,Mdm SPEAKER (Mdm Halimah Yacob (Marsiling-Yew Tee)). ,True
2016-04-12,Amrin Amin,"Mr Amrin Amin (Sembawang), Parliamentary Secretary to the Minister for Home Affairs. ",True
2016-04-12,Ang Hin Kee,Mr Ang Hin Kee (Ang Mo Kio). ,True
2016-04-12,Ang Wei Neng,Mr Ang Wei Neng (Jurong). ,True
2016-04-12,Baey Yam Keng,"Mr Baey Yam Keng (Tampines), Parliamentary Secretary to the Minister for Culture, Community and Youth. ",True
2016-04-12,Chan Chun Sing,"Mr Chan Chun Sing (Tanjong Pagar), Minister, Prime Minister's Office and Government Whip. ",True
2016-04-12,Cheryl Chan Wei Ling,Miss Cheryl Chan Wei Ling (Fengshan). ,True
2016-04-12,Chee Hong Tat,"Mr Chee Hong Tat (Bishan-Toa Payoh), Minister of State for Communications and Information and Health. ",True
2016-04-12,Chen Show Mao,Mr Chen Show Mao (Aljunied). ,True
2016-04-12,Cheng Li Hui,Miss Cheng Li Hui (Tampines). ,True
2016-04-12,Chia Shi-Lu,Dr Chia Shi-Lu (Tanjong Pagar). ,True
2016-04-12,Chia Yong Yong,Ms Chia Yong Yong (Nominated Member). ,True
2016-04-12,Charles Chong,"Mr Charles Chong (Punggol East), Deputy Speaker. ",True
2016-04-12,Chong Kee Hiong,Mr Chong Kee Hiong (Bishan-Toa Payoh). ,True
2016-04-12,Desmond Choo,Mr Desmond Choo (Tampines). ,True
2016-04-12,Thomas Chua Kee Seng,Mr Thomas Chua Kee Seng (Nominated Member). ,True
2016-04-12,Darryl David,Mr Darryl David (Ang Mo Kio). ,True
2016-04-12,Christopher de Souza,Mr Christopher de Souza (Holland-Bukit Timah). ,True
2016-04-12,Fatimah Lateef,Assoc Prof Fatimah Lateef (Marine Parade). ,True
2016-04-12,Foo Mee Har,Ms Foo Mee Har (West Coast). ,True
2016-04-12,Grace Fu Hai Yien,"Ms Grace Fu Hai Yien (Yuhua), Minister for Culture, Community and Youth and Leader of the House. ",True
2016-04-12,Gan Kim Yong,"Mr Gan Kim Yong (Chua Chu Kang), Minister for Health. ",True
2016-04-12,Gan Thiam Poh,Mr Gan Thiam Poh (Ang Mo Kio). ,True
2016-04-12,Ganesh Rajaram,Mr Ganesh Rajaram (Nominated Member). ,True
2016-04-12,Goh Chok Tong,Mr Goh Chok Tong (Marine Parade). ,True
2016-04-12,Daniel Goh Pei Siong,Assoc Prof Daniel Goh Pei Siong (Non-Constituency Member). ,True
2016-04-12,Heng Chee How,"Mr Heng Chee How (Jalan Besar), Senior Minister of State, Prime Minister's Office. ",True
2016-04-12,Heng Swee Keat,"Mr Heng Swee Keat (Tampines), Minister for Finance. ",True
2016-04-12,Indranee Rajah,"Ms Indranee Rajah (Tanjong Pagar), Senior Minister of State for Finance and Law. ",True
2016-04-12,Intan Azura Mokhtar,Dr Intan Azura Mokhtar (Ang Mo Kio). ,True
2016-04-12,S Iswaran,"Mr S Iswaran (West Coast), Minister for Trade and Industry (Industry). ",True
2016-04-12,Janil Puthucheary,"Dr Janil Puthucheary (Pasir Ris-Punggol), Minister of State for Communications and Information and Education. ",True
2016-04-12,Khaw Boon Wan,"Mr Khaw Boon Wan (Sembawang), Coordinating Minister for Infrastructure and Minister for Transport. ",True
2016-04-12,Amy Khor Lean Suan,"Dr Amy Khor Lean Suan (Hong Kah North), Senior Minister of State for Health and the Environment and Water Resources. ",True
2016-04-12,Koh Poh Koon,"Dr Koh Poh Koon (Ang Mo Kio), Minister of State for National Development and Trade and Industry. ",True
2016-04-12,Kok Heng Leun,Mr Kok Heng Leun (Nominated Member). ,True
2016-04-12,Kuik Shiao-Yin,Ms Kuik Shiao-Yin (Nominated Member). ,True
2016-04-12,Kwek Hian Chuan Henry,Mr Kwek Hian Chuan Henry (Nee Soon). ,True
2016-04-12,Lam Pin Min,"Dr Lam Pin Min (Sengkang West), Minister of State for Health. ",True
