date,member_name,is_present
2012-09-11,Cedric Foo Chee Keng,False
2012-09-11,Goh Chok Tong,False
2012-09-11,Halimah Yacob,False
2012-09-11,Hawazi Daipi,False
2012-09-11,Heng Swee Keat,False
2012-09-11,Indranee Rajah,False
2012-09-11,S Iswaran,False
2012-09-11,Janice Koh,False
2012-09-11,Lam Pin Min,False
2012-09-11,Lee Kuan Yew,False
2012-09-11,Laurence Lien,False
2012-09-11,Raymond Lim Siang Keat,False
2012-09-11,Penny Low,False
2012-09-11,Mah Bow Tan,False
2012-09-11,Ng Eng Hen,False
2012-09-11,Irene Ng Phek Hoong,False
2012-09-11,K Shanmugam,False
2012-09-11,Sam Tan Chin Siong,False
2012-09-11,Teo Ser Luck,False
2012-09-11,Yee Jenn Jong,False
2012-09-11,Alvin Yeo,False
2012-09-11,Michael Palmer,True
2012-09-11,Ang Hin Kee,True
2012-09-11,Ang Wei Neng,True
2012-09-11,Baey Yam Keng,True
2012-09-11,Chan Chun Sing,True
2012-09-11,Chen Show Mao,True
2012-09-11,Chia Shi-Lu,True
2012-09-11,Lina Chiam,True
2012-09-11,Charles Chong,True
2012-09-11,Christopher de Souza,True
2012-09-11,R Dhinakaran,True
2012-09-11,Faizah Jamal,True
2012-09-11,Nicholas Fang,True
2012-09-11,Fatimah Lateef,True
2012-09-11,Arthur Fong,True
2012-09-11,Foo Mee Har,True
2012-09-11,Grace Fu Hai Yien,True
2012-09-11,Gan Kim Yong,True
2012-09-11,Gan Thiam Poh,True
2012-09-11,Gerald Giam Yean Song,True
2012-09-11,Heng Chee How,True
2012-09-11,Hri Kumar Nair,True
2012-09-11,Inderjit Singh,True
2012-09-11,Intan Azura Mokhtar,True
2012-09-11,Janil Puthucheary,True
2012-09-11,Khaw Boon Wan,True
2012-09-11,Amy Khor Lean Suan,True
2012-09-11,Lee Bee Wah,True
2012-09-11,Desmond Lee,True
2012-09-11,Ellen Lee,True
2012-09-11,Lee Hsien Loong,True
2012-09-11,Lee Yi Shyan,True
2012-09-11,Liang Eng Hwa,True
2012-09-11,Mary Liew,True
2012-09-11,Lim Biow Chuan,True
2012-09-11,Lim Hng Kiang,True
2012-09-11,Lim Swee Say,True
2012-09-11,Sylvia Lim,True
2012-09-11,Lim Wee Kiak,True
2012-09-11,Low Thia Khiang,True
2012-09-11,Low Yen Ling,True
2012-09-11,Lui Tuck Yew,True
2012-09-11,Masagos Zulkifli B M M,True
2012-09-11,Mohamad Maliki Bin Osman,True
2012-09-11,Muhamad Faisal Bin Abdul Manap,True
2012-09-11,Dr Muhammad Faishal Ibrahim,True
2012-09-11,Lily Neo,True
2012-09-11,David Ong,True
2012-09-11,Ong Teng Koon,True
2012-09-11,Denise Phua Lay Peng,True
2012-09-11,Png Eng Huat,True
2012-09-11,Pritam Singh,True
2012-09-11,Seah Kian Peng,True
2012-09-11,Seng Han Thong,True
2012-09-11,Sim Ann,True
2012-09-11,Sitoh Yih Pin,True
2012-09-11,Tan Chuan-Jin,True
2012-09-11,Tan Kheng Boon Eugene,True
2012-09-11,Jessica Tan Soon Neo,True
2012-09-11,Tan Su Shan,True
2012-09-11,Patrick Tay Teck Guan,True
2012-09-11,Teo Chee Hean,True
2012-09-11,Teo Ho Pin,True
2012-09-11,Josephine Teo,True
2012-09-11,Teo Siong Seng,True
2012-09-11,Tharman Shanmugaratnam,True
2012-09-11,Tin Pei Ling,True
2012-09-11,Edwin Tong Chun Fai,True
2012-09-11,Vikram Nair,True
2012-09-11,Vivian Balakrishnan,True
2012-09-11,Wong Kan Seng,True
2012-09-11,Lawrence Wong,True
2012-09-11,Dr Yaacob Ibrahim,True
2012-09-11,Alex Yam,True
2012-09-11,Yeo Guat Kwang,True
2012-09-11,Zainal Sapari,True
2012-09-11,Zainudin Nordin,True
2012-09-11,Zaqy Mohamad,True
