date,member_name,is_present
2023-02-14,Desmond Lee,False
2023-02-14,Dr Muhammad Faishal Ibrahim,False
2023-02-14,Ng Eng Hen,False
2023-02-14,Tan Yia Swam,False
2023-02-14,Josephine Teo,False
2023-02-14,Tan Chuan-Jin,True
2023-02-14,Abdul Samad,True
2023-02-14,Janet Ang,True
2023-02-14,Ang Wei Neng,True
2023-02-14,Baey Yam Keng,True
2023-02-14,Chan Chun Sing,True
2023-02-14,Cheryl Chan Wei Ling,True
2023-02-14,Mark Chay,True
2023-02-14,Chee Hong Tat,True
2023-02-14,Cheng Hsing Yao,True
2023-02-14,Cheng Li Hui,True
2023-02-14,Edward Chia Bing Hui,True
2023-02-14,Chong Kee Hiong,True
2023-02-14,Desmond Choo,True
2023-02-14,Eric Chua,True
2023-02-14,Chua Kheng Wee Louis,True
2023-02-14,Darryl David,True
2023-02-14,Christopher de Souza,True
2023-02-14,Foo Mee Har,True
2023-02-14,Grace Fu Hai Yien,True
2023-02-14,Gan Kim Yong,True
2023-02-14,Gan Siow Huang,True
2023-02-14,Gan Thiam Poh,True
2023-02-14,Gerald Giam Yean Song,True
2023-02-14,Derrick Goh,True
2023-02-14,He Ting Ru,True
2023-02-14,Heng Chee How,True
2023-02-14,Heng Swee Keat,True
2023-02-14,Hoon Hian Teck,True
2023-02-14,Shawn Huang Wei Zhong,True
2023-02-14,Indranee Rajah,True
2023-02-14,S Iswaran,True
2023-02-14,Janil Puthucheary,True
2023-02-14,Amy Khor Lean Suan,True
2023-02-14,Koh Lian Pin,True
2023-02-14,Koh Poh Koon,True
2023-02-14,Kwek Hian Chuan Henry,True
2023-02-14,Lee Hsien Loong,True
2023-02-14,Leong Mun Wai,True
2023-02-14,Liang Eng Hwa,True
2023-02-14,Lim Biow Chuan,True
2023-02-14,Jamus Jerome Lim,True
2023-02-14,Sylvia Lim,True
2023-02-14,Lim Wee Kiak,True
2023-02-14,Low Yen Ling,True
2023-02-14,Mariam Jaafar,True
2023-02-14,Masagos Zulkifli B M M,True
2023-02-14,Mohamad Maliki Bin Osman,True
2023-02-14,Mohd Fahmi Aliman,True
2023-02-14,Muhamad Faisal Bin Abdul Manap,True
2023-02-14,Murali Pillai,True
2023-02-14,Nadia Ahmad Samdin,True
2023-02-14,Louis Ng Kok Kwang,True
2023-02-14,Ng Ling Ling,True
2023-02-14,Rachel Ong,True
2023-02-14,Ong Ye Kung,True
2023-02-14,Joan Pereira,True
2023-02-14,Leon Perera,True
2023-02-14,Denise Phua Lay Peng,True
2023-02-14,Hazel Poa,True
2023-02-14,Poh Li San,True
2023-02-14,Pritam Singh,True
2023-02-14,Rahayu Mahzam,True
2023-02-14,Saktiandi Supaat,True
2023-02-14,Seah Kian Peng,True
2023-02-14,Shahira Abdullah,True
2023-02-14,K Shanmugam,True
2023-02-14,Sharael Taha,True
2023-02-14,Sim Ann,True
2023-02-14,Sitoh Yih Pin,True
2023-02-14,Hany Soh,True
2023-02-14,Sun Xueling,True
2023-02-14,Alvin Tan,True
2023-02-14,Carrie Tan,True
2023-02-14,Desmond Tan,True
2023-02-14,Tan Kiat How,True
2023-02-14,Dennis Tan Lip Fong,True
2023-02-14,Tan See Leng,True
2023-02-14,Jessica Tan Soon Neo,True
2023-02-14,Tan Wu Meng,True
2023-02-14,Patrick Tay Teck Guan,True
2023-02-14,Teo Chee Hean,True
2023-02-14,Tharman Shanmugaratnam,True
2023-02-14,Raj Joshua Thomas,True
2023-02-14,Tin Pei Ling,True
2023-02-14,Edwin Tong Chun Fai,True
2023-02-14,Vikram Nair,True
2023-02-14,Vivian Balakrishnan,True
2023-02-14,Wan Rizal,True
2023-02-14,Don Wee,True
2023-02-14,Lawrence Wong,True
2023-02-14,Xie Yao Quan,True
2023-02-14,Alex Yam,True
2023-02-14,Yeo Wan Ling,True
2023-02-14,Yip Hon Weng,True
2023-02-14,Melvin Yong Yik Chye,True
2023-02-14,Zaqy Mohamad,True
2023-02-14,Zhulkarnain Abdul Rahim,True
