date,member_name,is_present
2012-09-10,,False
2012-09-10,Ang Hin Kee,True
2012-09-10,Ang Wei Neng,True
2012-09-10,Baey Yam Keng,True
2012-09-10,Chan Chun Sing,True
2012-09-10,Chen Show Mao,True
2012-09-10,Chia Shi-Lu,True
2012-09-10,Lina Chiam,True
2012-09-10,Charles Chong,True
2012-09-10,Christopher de Souza,True
2012-09-10,R Dhinakaran,True
2012-09-10,Faizah Jamal,True
2012-09-10,Nicholas Fang,True
2012-09-10,Fatimah Lateef,True
2012-09-10,Arthur Fong,True
2012-09-10,Cedric Foo Chee Keng,True
2012-09-10,Foo Mee Har,True
2012-09-10,Grace Fu Hai Yien,True
2012-09-10,Gan Kim Yong,True
2012-09-10,Gan Thiam Poh,True
2012-09-10,Gerald Giam Yean Song,True
2012-09-10,Halimah Yacob,True
2012-09-10,Heng Chee How,True
2012-09-10,Heng Swee Keat,True
2012-09-10,Hri Kumar Nair,True
2012-09-10,Inderjit Singh,True
2012-09-10,Intan Azura Mokhtar,True
2012-09-10,S Iswaran,True
2012-09-10,Janil Puthucheary,True
2012-09-10,Khaw Boon Wan,True
2012-09-10,Amy Khor Lean Suan,True
2012-09-10,Janice Koh,True
2012-09-10,Lee Bee Wah,True
2012-09-10,Desmond Lee,True
2012-09-10,Ellen Lee,True
2012-09-10,Lee Hsien Loong,True
2012-09-10,Lee Kuan Yew,True
2012-09-10,Lee Yi Shyan,True
2012-09-10,Liang Eng Hwa,True
2012-09-10,Mary Liew,True
2012-09-10,Lim Biow Chuan,True
2012-09-10,Raymond Lim Siang Keat,True
2012-09-10,Lim Swee Say,True
2012-09-10,Sylvia Lim,True
2012-09-10,Lim Wee Kiak,True
2012-09-10,Low Thia Khiang,True
2012-09-10,Low Yen Ling,True
2012-09-10,Lui Tuck Yew,True
2012-09-10,Mah Bow Tan,True
2012-09-10,Masagos Zulkifli B M M,True
2012-09-10,Mohamad Maliki Bin Osman,True
2012-09-10,Muhamad Faisal Bin Abdul Manap,True
2012-09-10,Dr Muhammad Faishal Ibrahim,True
2012-09-10,Lily Neo,True
2012-09-10,David Ong,True
2012-09-10,Ong Teng Koon,True
2012-09-10,Denise Phua Lay Peng,True
2012-09-10,Png Eng Huat,True
2012-09-10,Pritam Singh,True
2012-09-10,Seah Kian Peng,True
2012-09-10,Seng Han Thong,True
2012-09-10,Sim Ann,True
2012-09-10,Sitoh Yih Pin,True
2012-09-10,Tan Chuan-Jin,True
2012-09-10,Tan Kheng Boon Eugene,True
2012-09-10,Jessica Tan Soon Neo,True
2012-09-10,Tan Su Shan,True
2012-09-10,Patrick Tay Teck Guan,True
2012-09-10,Teo Chee Hean,True
2012-09-10,Teo Ho Pin,True
2012-09-10,Josephine Teo,True
2012-09-10,Teo Ser Luck,True
2012-09-10,Teo Siong Seng,True
2012-09-10,Tharman Shanmugaratnam,True
2012-09-10,Tin Pei Ling,True
2012-09-10,Edwin Tong Chun Fai,True
2012-09-10,Vikram Nair,True
2012-09-10,Vivian Balakrishnan,True
2012-09-10,Wong Kan Seng,True
2012-09-10,Lawrence Wong,True
2012-09-10,Dr Yaacob Ibrahim,True
2012-09-10,Alex Yam,True
2012-09-10,Yee Jenn Jong,True
2012-09-10,Alvin Yeo,True
2012-09-10,Zainal Sapari,True
2012-09-10,Zainudin Nordin,True
2012-09-10,Zaqy Mohamad,True
2012-09-10,Goh Chok Tong,False
2012-09-10,Hawazi Daipi,False
2012-09-10,Indranee Rajah,False
2012-09-10,Lam Pin Min,False
2012-09-10,Laurence Lien,False
2012-09-10,Lim Hng Kiang,False
2012-09-10,Penny Low,False
2012-09-10,Ng Eng Hen,False
2012-09-10,Irene Ng Phek Hoong,False
2012-09-10,K Shanmugam,False
2012-09-10,Sam Tan Chin Siong,False
2012-09-10,Yeo Guat Kwang,False
