Date,MP_Name,Original_MP_Name,Attendance
2018-10-01,Gan Kim Yong,"Mr Gan Kim Yong (Chua Chu Kang), Minister for Health.",False
2018-10-01,Kwek Hian Chuan Henry,Mr Kwek Hian Chuan Henry (Nee Soon).,False
2018-10-01,Lee Yi Shyan,Mr Lee Yi Shyan (East Coast).,False
2018-10-01,Sitoh Yih Pin,Mr Sitoh Yih Pin (Potong Pasir).,False
2018-10-01,Tin Pei Ling,Ms Tin Pei Ling (MacPherson).,False
2018-10-01,Tan Chuan-Jin,Mr SPEAKER (Mr Tan Chuan-Jin (Marine Parade)). ,True
2018-10-01,Amrin Amin,"Mr Amrin Amin (Sembawang), Senior Parliamentary Secretary to the Ministers for Health and Home Affairs. ",True
2018-10-01,Ang Hin Kee,Mr Ang Hin Kee (Ang Mo Kio). ,True
2018-10-01,Ang Wei Neng,Mr Ang Wei Neng (Jurong). ,True
2018-10-01,Baey Yam Keng,"Mr Baey Yam Keng (Tampines), Senior Parliamentary Secretary to the Ministers for Culture, Community and Youth and Transport. ",True
2018-10-01,Chan Chun Sing,"Mr Chan Chun Sing (Tanjong Pagar), Minister for Trade and Industry and Government Whip. ",True
2018-10-01,Cheryl Chan Wei Ling,Miss Cheryl Chan Wei Ling (Fengshan). ,True
2018-10-01,Chee Hong Tat,"Mr Chee Hong Tat (Bishan-Toa Payoh), Senior Minister of State for Education and Trade and Industry. ",True
2018-10-01,Chen Show Mao,Mr Chen Show Mao (Aljunied). ,True
2018-10-01,Cheng Li Hui,Miss Cheng Li Hui (Tampines). ,True
2018-10-01,Chia Shi-Lu,Dr Chia Shi-Lu (Tanjong Pagar). ,True
2018-10-01,Charles Chong,"Mr Charles Chong (Punggol East), Deputy Speaker. ",True
2018-10-01,Chong Kee Hiong,Mr Chong Kee Hiong (Bishan-Toa Payoh). ,True
2018-10-01,Desmond Choo,Mr Desmond Choo (Tampines). ,True
2018-10-01,Darryl David,Mr Darryl David (Ang Mo Kio). ,True
2018-10-01,Christopher de Souza,Mr Christopher de Souza (Holland-Bukit Timah). ,True
2018-10-01,Arasu Duraisamy,Mr Arasu Duraisamy (Nominated Member). ,True
2018-10-01,Fatimah Lateef,Prof Fatimah Lateef (Marine Parade). ,True
2018-10-01,Cedric Foo Chee Keng,Mr Cedric Foo Chee Keng (Pioneer). ,True
2018-10-01,Douglas Foo,Mr Douglas Foo (Nominated Member). ,True
2018-10-01,Foo Mee Har,Ms Foo Mee Har (West Coast). ,True
2018-10-01,Grace Fu Hai Yien,"Ms Grace Fu Hai Yien (Yuhua), Minister for Culture, Community and Youth and Leader of the House. ",True
2018-10-01,Gan Thiam Poh,Mr Gan Thiam Poh (Ang Mo Kio). ,True
2018-10-01,Goh Chok Tong,Mr Goh Chok Tong (Marine Parade). ,True
2018-10-01,Daniel Goh Pei Siong,Assoc Prof Daniel Goh Pei Siong (Non-Constituency Member). ,True
2018-10-01,Heng Chee How,"Mr Heng Chee How (Jalan Besar), Senior Minister of State for Defence. ",True
2018-10-01,Heng Swee Keat,"Mr Heng Swee Keat (Tampines), Minister for Finance. ",True
2018-10-01,Terence Ho Wee San,Mr Terence Ho Wee San (Nominated Member). ,True
2018-10-01,Indranee Rajah,"Ms Indranee Rajah (Tanjong Pagar), Minister, Prime Minister's Office and Second Minister for Education and Finance. ",True
2018-10-01,Intan Azura Mokhtar,Dr Intan Azura Mokhtar (Ang Mo Kio). ,True
2018-10-01,S Iswaran,"Mr S Iswaran (West Coast), Minister for Communications and Information and Minister-in-charge of Trade Relations. ",True
2018-10-01,Janil Puthucheary,"Dr Janil Puthucheary (Pasir Ris-Punggol), Senior Minister of State for Communications and Information and Transport. ",True
2018-10-01,Khaw Boon Wan,"Mr Khaw Boon Wan (Sembawang), Coordinating Minister for Infrastructure and Minister for Transport. ",True
2018-10-01,Amy Khor Lean Suan,"Dr Amy Khor Lean Suan (Hong Kah North), Senior Minister of State for the Environment and Water Resources and Health. ",True
2018-10-01,Koh Poh Koon,"Dr Koh Poh Koon (Ang Mo Kio), Senior Minister of State for Trade and Industry. ",True
2018-10-01,Lam Pin Min,"Dr Lam Pin Min (Sengkang West), Senior Minister of State for Health and Transport. ",True
2018-10-01,Lee Bee Wah,Er Dr Lee Bee Wah (Nee Soon). ,True
2018-10-01,Desmond Lee,"Mr Desmond Lee (Jurong), Minister for Social and Family Development and Second Minister for National Development and Deputy Leader of the House. ",True
2018-10-01,Lee Hsien Loong,"Mr Lee Hsien Loong (Ang Mo Kio), Prime Minister. ",True
2018-10-01,Liang Eng Hwa,Mr Liang Eng Hwa (Holland-Bukit Timah). ,True
2018-10-01,Lim Biow Chuan,"Mr Lim Biow Chuan (Mountbatten), Deputy Speaker. ",True
2018-10-01,Lim Hng Kiang,Mr Lim Hng Kiang (West Coast). ,True
2018-10-01,Lim Sun Sun,Prof Lim Sun Sun (Nominated Member). ,True
2018-10-01,Lim Swee Say,Mr Lim Swee Say (East Coast). ,True
2018-10-01,Sylvia Lim,Ms Sylvia Lim (Aljunied). ,True
2018-10-01,Lim Wee Kiak,Dr Lim Wee Kiak (Sembawang). ,True
2018-10-01,Low Thia Khiang,Mr Low Thia Khiang (Aljunied). ,True
2018-10-01,Low Yen Ling,"Ms Low Yen Ling (Chua Chu Kang), Senior Parliamentary Secretary to the Ministers for Education and Manpower. ",True
2018-10-01,Masagos Zulkifli B M M,"Mr Masagos Zulkifli B M M (Tampines), Minister for the Environment and Water Resources and Minister-in-charge of Muslim Affairs. ",True
2018-10-01,Mohamad Maliki Bin Osman,"Dr Mohamad Maliki Bin Osman (East Coast), Senior Minister of State for Defence and Foreign Affairs. ",True
2018-10-01,Mohamed Irshad,Mr Mohamed Irshad (Nominated Member). ,True
2018-10-01,Muhamad Faisal Bin Abdul Manap,Mr Muhamad Faisal Bin Abdul Manap (Aljunied). ,True
2018-10-01,Dr Muhammad Faishal Ibrahim,"Assoc Prof Dr Muhammad Faishal Ibrahim (Nee Soon), Senior Parliamentary Secretary to the Ministers for Education and Social and Family Development. ",True
2018-10-01,Murali Pillai,Mr Murali Pillai (Bukit Batok). ,True
2018-10-01,Lily Neo,Dr Lily Neo (Jalan Besar). ,True
2018-10-01,Ng Chee Meng,"Mr Ng Chee Meng (Pasir Ris-Punggol), Minister, Prime Minister's Office. ",True
2018-10-01,Ng Eng Hen,"Dr Ng Eng Hen (Bishan-Toa Payoh), Minister for Defence. ",True
2018-10-01,Louis Ng Kok Kwang,Mr Louis Ng Kok Kwang (Nee Soon). ,True
2018-10-01,Anthea Ong,Ms Anthea Ong (Nominated Member). ,True
2018-10-01,Ong Teng Koon,Mr Ong Teng Koon (Marsiling-Yew Tee). ,True
2018-10-01,Ong Ye Kung,"Mr Ong Ye Kung (Sembawang), Minister for Education. ",True
2018-10-01,Joan Pereira,Ms Joan Pereira (Tanjong Pagar). ,True
2018-10-01,Leon Perera,Mr Leon Perera (Non-Constituency Member). ,True
2018-10-01,Denise Phua Lay Peng,Ms Denise Phua Lay Peng (Jalan Besar). ,True
2018-10-01,Png Eng Huat,Mr Png Eng Huat (Hougang). ,True
2018-10-01,Pritam Singh,Mr Pritam Singh (Aljunied). ,True
2018-10-01,Irene Quay Siew Ching,Ms Irene Quay Siew Ching (Nominated Member). ,True
2018-10-01,Rahayu Mahzam,Ms Rahayu Mahzam (Jurong). ,True
2018-10-01,Saktiandi Supaat,Mr Saktiandi Supaat (Bishan-Toa Payoh). ,True
2018-10-01,Seah Kian Peng,Mr Seah Kian Peng (Marine Parade). ,True
2018-10-01,K Shanmugam,"Mr K Shanmugam (Nee Soon), Minister for Home Affairs and Law. ",True
2018-10-01,Sim Ann,"Ms Sim Ann (Holland-Bukit Timah), Senior Minister of State for Communications and Information and Culture, Community and Youth and Deputy Government Whip. ",True
2018-10-01,Sun Xueling,"Ms Sun Xueling (Pasir Ris-Punggol), Senior Parliamentary Secretary to the Ministers for Home Affairs and National Development. ",True
2018-10-01,Sam Tan Chin Siong,"Mr Sam Tan Chin Siong (Radin Mas), Minister of State for Foreign Affairs and Social and Family Development and Deputy Government Whip. ",True
2018-10-01,Dennis Tan Lip Fong,Mr Dennis Tan Lip Fong (Non-Constituency Member). ,True
2018-10-01,Jessica Tan Soon Neo,Ms Jessica Tan Soon Neo (East Coast). ,True
2018-10-01,Tan Wu Meng,"Dr Tan Wu Meng (Jurong), Senior Parliamentary Secretary to the Ministers for Foreign Affairs and Trade and Industry. ",True
2018-10-01,Patrick Tay Teck Guan,Mr Patrick Tay Teck Guan (West Coast). ,True
