date,member_name,is_present
2016-03-24,Goh Chok Tong,False
2016-03-24,Sun Xueling,False
2016-03-24,Vivian Balakrishnan,False
2016-03-24,Halimah Yacob,True
2016-03-24,Amrin Amin,True
2016-03-24,Ang Hin Kee,True
2016-03-24,Ang Wei Neng,True
2016-03-24,Azmoon Ahmad,True
2016-03-24,Baey Yam Keng,True
2016-03-24,Chan Chun Sing,True
2016-03-24,Cheryl Chan Wei Ling,True
2016-03-24,Chee Hong Tat,True
2016-03-24,Chen Show Mao,True
2016-03-24,Cheng Li Hui,True
2016-03-24,Chia Shi-Lu,True
2016-03-24,Chia Yong Yong,True
2016-03-24,Charles Chong,True
2016-03-24,Chong Kee Hiong,True
2016-03-24,Desmond Choo,True
2016-03-24,Thomas Chua Kee Seng,True
2016-03-24,Darryl David,True
2016-03-24,Christopher de Souza,True
2016-03-24,Fatimah Lateef,True
2016-03-24,Cedric Foo Chee Keng,True
2016-03-24,Foo Mee Har,True
2016-03-24,Grace Fu Hai Yien,True
2016-03-24,Gan Kim Yong,True
2016-03-24,Gan Thiam Poh,True
2016-03-24,Ganesh Rajaram,True
2016-03-24,Daniel Goh Pei Siong,True
2016-03-24,Heng Chee How,True
2016-03-24,Heng Swee Keat,True
2016-03-24,Indranee Rajah,True
2016-03-24,Intan Azura Mokhtar,True
2016-03-24,S Iswaran,True
2016-03-24,Janil Puthucheary,True
2016-03-24,Khaw Boon Wan,True
2016-03-24,Amy Khor Lean Suan,True
2016-03-24,Koh Poh Koon,True
2016-03-24,Kok Heng Leun,True
2016-03-24,Kuik Shiao-Yin,True
2016-03-24,Kwek Hian Chuan Henry,True
2016-03-24,Lam Pin Min,True
2016-03-24,Lee Bee Wah,True
2016-03-24,Desmond Lee,True
2016-03-24,Lee Hsien Loong,True
2016-03-24,Lee Yi Shyan,True
2016-03-24,Liang Eng Hwa,True
2016-03-24,Lim Biow Chuan,True
2016-03-24,Lim Hng Kiang,True
2016-03-24,Lim Swee Say,True
2016-03-24,Sylvia Lim,True
2016-03-24,Lim Wee Kiak,True
2016-03-24,Low Thia Khiang,True
2016-03-24,Low Yen Ling,True
2016-03-24,Mahdev Mohan,True
2016-03-24,Masagos Zulkifli B M M,True
2016-03-24,Mohamad Maliki Bin Osman,True
2016-03-24,Muhamad Faisal Bin Abdul Manap,True
2016-03-24,Dr Muhammad Faishal Ibrahim,True
2016-03-24,Lily Neo,True
2016-03-24,Ng Chee Meng,True
2016-03-24,Ng Eng Hen,True
2016-03-24,Louis Ng Kok Kwang,True
2016-03-24,Ong Teng Koon,True
2016-03-24,Ong Ye Kung,True
2016-03-24,Joan Pereira,True
2016-03-24,Leon Perera,True
2016-03-24,Denise Phua Lay Peng,True
2016-03-24,Png Eng Huat,True
2016-03-24,Pritam Singh,True
2016-03-24,Rahayu Mahzam,True
2016-03-24,Saktiandi Supaat,True
2016-03-24,Seah Kian Peng,True
2016-03-24,K Shanmugam,True
2016-03-24,Sim Ann,True
2016-03-24,Sitoh Yih Pin,True
2016-03-24,Sam Tan Chin Siong,True
2016-03-24,Tan Chuan-Jin,True
2016-03-24,Dennis Tan Lip Fong,True
2016-03-24,Randolph Tan,True
2016-03-24,Jessica Tan Soon Neo,True
2016-03-24,Tan Wu Meng,True
2016-03-24,Patrick Tay Teck Guan,True
2016-03-24,Teo Chee Hean,True
2016-03-24,Teo Ho Pin,True
2016-03-24,Josephine Teo,True
2016-03-24,Teo Ser Luck,True
2016-03-24,K Thanaletchimi,True
2016-03-24,Tharman Shanmugaratnam,True
2016-03-24,Tin Pei Ling,True
2016-03-24,Edwin Tong Chun Fai,True
2016-03-24,Vikram Nair,True
2016-03-24,Lawrence Wong,True
2016-03-24,Dr Yaacob Ibrahim,True
2016-03-24,Alex Yam,True
2016-03-24,Yee Chia Hsing,True
2016-03-24,Melvin Yong Yik Chye,True
2016-03-24,Zainal Sapari,True
2016-03-24,Zaqy Mohamad,True
