date,member_name,is_present
2014-11-03,Ang Hin Kee,False
2014-11-03,Heng Chee How,False
2014-11-03,K Karthikeyan,False
2014-11-03,Kuik Shiao-Yin,False
2014-11-03,Lim Hng Kiang,False
2014-11-03,Lim Swee Say,False
2014-11-03,Benedict Tan,False
2014-11-03,Sam Tan Chin Siong,False
2014-11-03,Patrick Tay Teck Guan,False
2014-11-03,Teo Chee Hean,False
2014-11-03,Teo Ho Pin,False
2014-11-03,Wong Kan Seng,False
2014-11-03,Dr Yaacob Ibrahim,False
2014-11-03,Zainudin Nordin,False
2014-11-03,Halimah Yacob,True
2014-11-03,Ang Wei Neng,True
2014-11-03,Baey Yam Keng,True
2014-11-03,Chan Chun Sing,True
2014-11-03,Chen Show Mao,True
2014-11-03,Chia Shi-Lu,True
2014-11-03,Chia Yong Yong,True
2014-11-03,Lina Chiam,True
2014-11-03,Charles Chong,True
2014-11-03,Thomas Chua Kee Seng,True
2014-11-03,Christopher de Souza,True
2014-11-03,Fatimah Lateef,True
2014-11-03,Arthur Fong,True
2014-11-03,Cedric Foo Chee Keng,True
2014-11-03,Foo Mee Har,True
2014-11-03,Grace Fu Hai Yien,True
2014-11-03,Gan Kim Yong,True
2014-11-03,Gan Thiam Poh,True
2014-11-03,Gerald Giam Yean Song,True
2014-11-03,Goh Chok Tong,True
2014-11-03,Hawazi Daipi,True
2014-11-03,Heng Swee Keat,True
2014-11-03,Hri Kumar Nair,True
2014-11-03,Inderjit Singh,True
2014-11-03,Indranee Rajah,True
2014-11-03,Intan Azura Mokhtar,True
2014-11-03,S Iswaran,True
2014-11-03,Janil Puthucheary,True
2014-11-03,Khaw Boon Wan,True
2014-11-03,Amy Khor Lean Suan,True
2014-11-03,Lam Pin Min,True
2014-11-03,Lee Bee Wah,True
2014-11-03,Desmond Lee,True
2014-11-03,Ellen Lee,True
2014-11-03,Lee Hsien Loong,True
2014-11-03,Lee Kuan Yew,True
2014-11-03,Lee Li Lian,True
2014-11-03,Lee Yi Shyan,True
2014-11-03,Liang Eng Hwa,True
2014-11-03,Lim Biow Chuan,True
2014-11-03,Raymond Lim Siang Keat,True
2014-11-03,Sylvia Lim,True
2014-11-03,Lim Wee Kiak,True
2014-11-03,Penny Low,True
2014-11-03,Low Thia Khiang,True
2014-11-03,Low Yen Ling,True
2014-11-03,Lui Tuck Yew,True
2014-11-03,Mah Bow Tan,True
2014-11-03,Masagos Zulkifli B M M,True
2014-11-03,Mohamad Maliki Bin Osman,True
2014-11-03,Mohd Ismail Hussein,True
2014-11-03,Muhamad Faisal Bin Abdul Manap,True
2014-11-03,Dr Muhammad Faishal Ibrahim,True
2014-11-03,Lily Neo,True
2014-11-03,Ng Eng Hen,True
2014-11-03,Irene Ng Phek Hoong,True
2014-11-03,David Ong,True
2014-11-03,Ong Teng Koon,True
2014-11-03,Denise Phua Lay Peng,True
2014-11-03,Png Eng Huat,True
2014-11-03,Pritam Singh,True
2014-11-03,Seah Kian Peng,True
2014-11-03,Seng Han Thong,True
2014-11-03,K Shanmugam,True
2014-11-03,Sim Ann,True
2014-11-03,Sitoh Yih Pin,True
2014-11-03,Rita Soh Siow Lan,True
2014-11-03,Tan Chuan-Jin,True
2014-11-03,Randolph Tan,True
2014-11-03,Jessica Tan Soon Neo,True
2014-11-03,Tan Tai Yong,True
2014-11-03,Josephine Teo,True
2014-11-03,Teo Ser Luck,True
2014-11-03,Tharman Shanmugaratnam,True
2014-11-03,Tin Pei Ling,True
2014-11-03,Edwin Tong Chun Fai,True
2014-11-03,Vikram Nair,True
2014-11-03,Vivian Balakrishnan,True
2014-11-03,Lawrence Wong,True
2014-11-03,Alex Yam,True
2014-11-03,Yee Jenn Jong,True
2014-11-03,Alvin Yeo,True
2014-11-03,Yeo Guat Kwang,True
2014-11-03,Zainal Sapari,True
2014-11-03,Zaqy Mohamad,True
