Date,MP_Name,Original_MP_Name,Attendance
2023-05-10,Tan Chuan-Jin,Mr SPEAKER (Mr Tan Chuan-Jin (Marine Parade)).,False
2023-05-10,Cheng Hsing Yao,Mr Cheng Hsing Yao (Nominated Member).,False
2023-05-10,Cheng Li Hui,Miss Cheng Li Hui (Tampines).,False
2023-05-10,Desmond Choo,Mr Desmond Choo (Tampines).,False
2023-05-10,Foo Mee Har,Ms Foo Mee Har (West Coast).,False
2023-05-10,He Ting Ru,Ms He Ting Ru (Sengkang).,False
2023-05-10,Heng Swee Keat,"Mr Heng Swee Keat (East Coast), Deputy Prime Minister and Coordinating Minister for Economic Policies.",False
2023-05-10,Desmond Lee,"Mr Desmond Lee (West Coast), Minister for National Development, Minister-in-charge of Social Services Integration.",False
2023-05-10,Lee Hsien Loong,"Mr Lee Hsien Loong (Ang Mo Kio), Prime Minister.",False
2023-05-10,Masagos Zulkifli B M M,"Mr Masagos Zulkifli B M M (Tampines), Minister for Social and Family Development, Second Minister for Health and Minister-in-charge of Muslim Affairs.",False
2023-05-10,Joan Pereira,Ms Joan Pereira (Tanjong Pagar).,False
2023-05-10,Rahayu Mahzam,"Ms Rahayu Mahzam (Jurong), Senior Parliamentary Secretary to the Minister for Health and Minister for Law.",False
2023-05-10,Sitoh Yih Pin,Mr Sitoh Yih Pin (Potong Pasir).,False
2023-05-10,Tan Wu Meng,Dr Tan Wu Meng (Jurong).,False
2023-05-10,Patrick Tay Teck Guan,Mr Patrick Tay Teck Guan (Pioneer).,False
2023-05-10,Josephine Teo,"Mrs Josephine Teo (Jalan Besar), Minister for Communications and Information and Second Minister for Home Affairs.",False
2023-05-10,Edwin Tong Chun Fai,"Mr Edwin Tong Chun Fai (Marine Parade), Minister for Culture, Community and Youth and Second Minister for Law.",False
2023-05-10,Vivian Balakrishnan,"Dr Vivian Balakrishnan (Holland-Bukit Timah), Minister for Foreign Affairs.",False
2023-05-10,Abdul Samad,Mr Abdul Samad (Nominated Member). ,True
2023-05-10,Janet Ang,Ms Janet Ang (Nominated Member). ,True
2023-05-10,Ang Wei Neng,Mr Ang Wei Neng (West Coast). ,True
2023-05-10,Baey Yam Keng,"Mr Baey Yam Keng (Tampines), Senior Parliamentary Secretary to the Minister for Sustainability and the Environment and Minister for Transport. ",True
