Date,Topic_CID,Order,Title,Subtitle,Section_Type,Question_Count
2018-05-17,2018-05-17-T-001,1,Committee of Selection and Estimates Committee,Announcement by Speaker,OS,
2018-05-17,2018-05-17-T-002,2,Deposit Insurance and Policy Owners' Protection Schemes (Amendment) Bill,,BI,
2018-05-17,2018-05-17-T-003,3,Tokyo Convention (Amendment) Bill,,BI,
2018-05-17,2018-05-17-T-004,4,Small Claims Tribunals (Amendment) Bill,,BI,
2018-05-17,2018-05-17-T-005,5,Intellectual Property (Border Enforcement) Bill,,BI,
2018-05-17,2018-05-17-T-006,6,Singapore Tourism (Cess Collection) (Amendment) Bill,,BI,
2018-05-17,2018-05-17-T-007,7,Customs (Amendment) Bill,,BI,
2018-05-17,2018-05-17-T-008,8,Ministerial Statement,Suspension of Standing Orders,OS,
2018-05-17,2018-05-17-T-009,9,National Service Training Deaths,Statement by Minister for Defence,OS,
2018-05-17,2018-05-17-T-010,10,Debate on President's Address,Fourth allotted day,OS,
2018-05-17,2018-05-17-T-011,11,Extension of a Sitting,,OS,
2018-05-17,2018-05-17-T-012,12,Debate on President's Address,Fourth allotted day,OS,
2018-05-17,2018-05-17-T-013,13,Adjournment of Debate ,,OS,
