Date,Topic_CID,Order,Title,Subtitle,Section_Type,Question_Count
2018-02-05,2018-02-05-T-001,1,Online Dating Platforms that Exploit Young Persons,,OA,
2018-02-05,2018-02-05-T-002,2,Number of Maintenance Applications Submitted to Tribunal for the Maintenance of Parents,,OA,
2018-02-05,2018-02-05-T-003,3,Recent Flash Floods and Adequacy of Drainage System,,OA,
2018-02-05,2018-02-05-T-004,4,Measures to Reduce Indiscriminate Parking of Shared Bicycles,,OA,
2018-02-05,2018-02-05-T-005,5,Reasons for Scrapping Off-peak Monthly Travel Pass for Persons with Disabilities and Senior Citizens,,OA,
2018-02-05,2018-02-05-T-006,6,Take-up Rate and Affordability of After-school Student Care Centres,,OA,
2018-02-05,2018-02-05-T-007,7,Prevalence of Co-payment Activities in Schools,,OA,
2018-02-05,2018-02-05-T-008,8,Review of Petrochemical Companies' Governance Processes after Recent Case of Theft of Fuel from Pulau Bukom,,OA,
2018-02-05,2018-02-05-T-009,9,Collection of Signatures at Public Place for Parliamentary Petitions,,OA,
2018-02-05,2018-02-05-T-010,10,Competency-based Remuneration at Public Healthcare Institutions,,OA,
2018-02-05,2018-02-05-T-011,11,Safeguarding Confidentiality of Patient Information with National Electronic Health Record,,OA,
2018-02-05,2018-02-05-T-012,12,Determination of Retirement Adequacy and Implication for Workfare Income Supplement Pay-outs,,OA,
2018-02-05,2018-02-05-T-013,13,Number of Silver Support Scheme Beneficiaries,,OA,
2018-02-05,2018-02-05-T-014,14,Proposal to Increase Frequency of Tree Inspections,,OA,
2018-02-05,2018-02-05-T-015,15,Reasons for Sharp Increase in Popping Floor Tiles at Some HDB Flats,,OA,
2018-02-05,2018-02-05-T-016,16,Criminal Reference on City Harvest Church Matter,Statement by Minister for Home Affairs,OS,
2018-02-05,2018-02-05-T-017,17,Economic Expansion Incentives (Relief from Income Tax) (Amendment) Bill,,BP,
2018-02-05,2018-02-05-T-018,18,Cybersecurity Bill,,BP,
2018-02-05,2018-02-05-T-019,19,Cybersecurity Bill,,BP,
2018-02-05,2018-02-05-T-020,20,Enterprise Singapore Board Bill ,,BP,
2018-02-05,2018-02-05-T-021,21,Adjournment,,OS,
2018-02-05,2018-02-05-T-022,22,Power Imbalance in Contracts Involving Small Businesses,,OS,
2018-02-05,2018-02-05-T-023,23,Avenues for Landed Property Owners to Gain Access to Build or Repair Adjoining Party Walls,,WANA,
2018-02-05,2018-02-05-T-024,24,Progress on Economic Strategies Committee's Target to Grow Successful Local Enterprises,,WANA,
2018-02-05,2018-02-05-T-025,25,Criticisms of Industry Transformation Roadmaps at Pre-Budget Roundtable,,WANA,
2018-02-05,2018-02-05-T-026,26,Proposal to Regulate Computer or Mobile Games Promoting Gambling,,WANA,
2018-02-05,2018-02-05-T-027,27,Measures to Bridge Possible Class Divide in Singapore Population,,WANA,
2018-02-05,2018-02-05-T-028,28,Locate Training Centres within Industrial Estates for Convenience of Workers,,WANA,
2018-02-05,2018-02-05-T-029,29,Effectiveness of SkillsFuture in Helping Recent and Past University Graduates Gain Employment,,WANA,
2018-02-05,2018-02-05-T-030,30,Profile of Singaporeans and Foreigners who Contribute to Supplementary Retirement Scheme,,WANA,
2018-02-05,2018-02-05-T-031,31,Issuance of Government Bonds to Fund Mega Infrastructure Projects,,WANA,
2018-02-05,2018-02-05-T-032,32,Regulation of Online Platforms that Sell Drugs that Require Doctors' Prescriptions,,WANA,
2018-02-05,2018-02-05-T-033,33,"Cases of Investigation, Prosecution and Conviction under Prevention of Human Trafficking Act",,WANA,
2018-02-05,2018-02-05-T-034,34,Employers Covering Employees' Medication Costs for Outpatient Treatment,,WANA,
2018-02-05,2018-02-05-T-035,35,Reports of Workplace Abuse and Harassment,,WANA,
2018-02-05,2018-02-05-T-036,36,Mitigating Waterfall Effect Due to Roof Structures on Sheltered Walkways outside Buildings,,WANA,
2018-02-05,2018-02-05-T-037,37,Assessment of Institutions that Qualify for Tapping on Child Development Account,,WANA,
2018-02-05,2018-02-05-T-038,38,Designation of Lead Agency to Deal with Complex Cases of Children with Special Needs,,WANA,
2018-02-05,2018-02-05-T-039,39,Support for Volunteers who are Abused on The Job,,WANA,
2018-02-05,2018-02-05-T-040,40,Proposal for More Bus Stops with Cantilever Shelters,,WANA,
2018-02-05,2018-02-05-T-041,41,Implementation Costs of Workplace Safety Requirements,,WANA,
2018-02-05,2018-02-05-T-042,42,Tailgating Detection System at Car Parks to Detect Motorcyclists who Avoid Payment,,WANA,
2018-02-05,2018-02-05-T-043,43,Adequacy of Programmes to Guard against Problem Gambling,,WANA,
2018-02-05,2018-02-05-T-044,44,Closing the Gap between Last Step on Buses and Pedestrian Curb,,WANA,
2018-02-05,2018-02-05-T-045,45,Managing Number of Heavy Vehicle along Fort Road,,WANA,
2018-02-05,2018-02-05-T-046,46,Cutting Inefficiency across Ministries,,WANA,
2018-02-05,2018-02-05-T-047,47,Different Fee Scale for Students with at least One Singapore Citizen Parent,,WANA,
2018-02-05,2018-02-05-T-048,48,Students with Dyslexia in Mainstream Schools and Exemption from Taking Mother Tongue Language as Compulsory Subject,,WANA,
2018-02-05,2018-02-05-T-049,49,Formation of Home Team Career Transition Office in Helping Retired Officers Find New Employment,,WANA,
2018-02-05,2018-02-05-T-050,50,Number of Abandoned Dogs Following Year of Dog in Chinese Lunar Calendar,,WANA,
2018-02-05,2018-02-05-T-051,51,Promoting Development of Retirement Villages in Singapore,,WANA,
2018-02-05,2018-02-05-T-052,52,Safety and Privacy of Data on Third-party Booking Apps,,WANA,
2018-02-05,2018-02-05-T-053,53,Impact of Promotion of Dialects on Learning of Mandarin,,WANA,
2018-02-05,2018-02-05-T-054,54,Review of Selected HDB Flats for Lift Upgrading Programme,,WANA,
2018-02-05,2018-02-05-T-055,55,Number of HDB Flats Eligible for Home Improvement Programme but Not Approved for Programme Yet,,WANA,
2018-02-05,2018-02-05-T-056,56,Government Decision on Cryptocurrency,,WANA,
2018-02-05,2018-02-05-T-057,57,Setting up of Inter-Ministerial Committee to Look into Better Integration of All Social Classes in Singapore,,WA,
2018-02-05,2018-02-05-T-058,58,Use of Supplementary Retirement Scheme Monies for Purchase of Singapore Savings Bonds,,WA,
2018-02-05,2018-02-05-T-059,59,Measures to Ensure Cashless Transactions Originating in Singapore are Encrypted and Secure,,WA,
2018-02-05,2018-02-05-T-060,60,Update on No-Wrong-Door Policy and First Responder Protocol,,WA,
2018-02-05,2018-02-05-T-061,61,Ban on Errant E-scooter Owners with Repeated Offences,,WA,
2018-02-05,2018-02-05-T-062,62,Update on Road-widening Works along Clementi Road between Jalan Anak Bukit and Ayer Rajah Expressway,,WA,
2018-02-05,2018-02-05-T-063,63,Regulatory Requirements for Private Hire Cars and Drivers,,WA,
2018-02-05,2018-02-05-T-064,64,Compensation for Passengers Injured in Joo Koon MRT-train Collision,,WA,
2018-02-05,2018-02-05-T-065,65,Annual Breakdown of Sexual Harassment Incidents on Public Transport from 2013 to 2017,,WA,
2018-02-05,2018-02-05-T-066,66,"Annual Wage Supplements for Workers with Monthly Gross Salary below $2,000",,WA,
2018-02-05,2018-02-05-T-067,67,Number of Singaporeans on Mid-career Switch Programmes in 2017,,WA,
2018-02-05,2018-02-05-T-068,68,Annual Breakdown of Workplace-health Related Claims under Work Injury Compensation Act from 2015 to 2017,,WA,
2018-02-05,2018-02-05-T-069,69,Measures to Protect Users against Security Flaws of Wi-fi Devices and Services,,WA,
2018-02-05,2018-02-05-T-070,70,Number of Vehicular Accidents Involving Singaporeans Overseas from 2015 to 2017,,WA,
2018-02-05,2018-02-05-T-071,71,Number of Traffic Accidents Involving Overseas Visitors Who Drive in Singapore,,WA,
2018-02-05,2018-02-05-T-072,72,Singapore Citizens with Registered Johor Bahru Home Addresses on Identity Cards,,WA,
2018-02-05,2018-02-05-T-073,73,Update on Protection of Public Spaces against Terrorist Incidents Using Vehicles,,WA,
2018-02-05,2018-02-05-T-074,74,Outpatient Non-chronic Illnesses Treated and Cost of Medication in 2016 and 2017,,WA,
2018-02-05,2018-02-05-T-075,75,Number of Elderly Aged 65 Years and Above Who Live Alone from 2013 to 2017,,WA,
2018-02-05,2018-02-05-T-076,76,Proportion of Births versus Deaths of Those Aged 65 Years and Above Registered at Private and Public Hospitals,,WA,
2018-02-05,2018-02-05-T-077,77,ElderShield Name and Payout Adequacy,,WA,
2018-02-05,2018-02-05-T-078,78,Pensioners under Fixed Amount on Ward Medical Benefits Scheme and Co-payment on Ward Medical Benefits Scheme,,WA,
2018-02-05,2018-02-05-T-079,79,Industry Transformation Map for Offshore Marine and Oil and Gas Industries,,WA,
2018-02-05,2018-02-05-T-080,80,Students in Institutes of Higher Learning Involved in Learning More about Industry Transformation Maps,,WA,
2018-02-05,2018-02-05-T-081,81,Plan to Increase Supply of Executive Condominiums in Next Five Years,,WA,
2018-02-05,2018-02-05-T-082,82,Additional Buyer's Stamp Duty Fees and Qualifying Certificate Extension Charges Paid by Developers since Implementation of Rules,,WA,
2018-02-05,2018-02-05-T-083,83,"Breakdown of Citizens, PRs and Foreigners in Singapore Owning One or More Private Residential Properties and also HDB Flats and Number of Such Properties Owned",,WA,
2018-02-05,2018-02-05-T-084,84,Number of HDB Blocks Projected to be Redeveloped under the Selective En-Bloc Redevelopment Scheme over Next 10-20 Years,,WA,
2018-02-05,2018-02-05-T-085,85,Land Subsidence and Mitigation Measures Planned,,WA,
2018-02-05,2018-02-05-T-086,86,Cost of Lift Upgrading Programme for Hougang SMC,,WA,
2018-02-05,2018-02-05-T-087,87,Update on Building of New Hawker Centre in Choa Chu Kang and All Remaining Hawker Centres,,WA,
2018-02-05,2018-02-05-T-088,88,Singaporean Students Commuting from Homes in Johor Baru to Classes in Singapore,,WA,
2018-02-05,2018-02-05-T-089,89,Primary School Vacancies in Chua Chu Kang,,WA,
2018-02-05,2018-02-05-T-090,90,"Female Students Taking up Engineering Courses at ITE, Polytechnic and University",,WA,
2018-02-05,2018-02-05-T-091,91,Foreign Students Defaulting on Repayment of Study Loans from Local Banks and Institutions,,WA,
2018-02-05,2018-02-05-T-092,92,Holders of WSQ Advanced Certificate in Training and Assessment Who Secured Jobs as Trainers of WSQ Programmes within a Year of Completion,,WA,
2018-02-05,2018-02-05-T-093,93,Number of Lasting Power of Attorneys Registered with Office of the Public Guardian in 2016 and 2017,,WA,
2018-02-05,2018-02-05-T-094,94,Children Born in 2016 and 2017 Whose Birth Certificates Do not Bear the Name of a Father or Whose Parents Were not Married at Date of Registration,,WA,
2018-02-05,2018-02-05-T-095,95,Children and Families in the KidSTART programme,,WA,
2018-02-05,2018-02-05-T-096,96,Children Conceived through Surrogacy Overseas and Born to Singaporeans,,WA,
