Date,Topic_CID,Order,Title,Subtitle,Section_Type,Question_Count
2017-09-11,2017-09-11-T-001,1,Resignation of Speaker,,OS,
2017-09-11,2017-09-11-T-002,2,Election of Speaker,,OS,
2017-09-11,2017-09-11-T-003,3,Election of Speaker,Tribute,OS,
2017-09-11,2017-09-11-T-004,4,Petition,More inclusive provision of public housing for single parents,OS,
2017-09-11,2017-09-11-T-005,5,Complaints on Lapses in Real-time Updates for MRT Breakdowns,,OA,
2017-09-11,2017-09-11-T-006,6,Implementation Plans for Cashless Public Transport System,,OA,
2017-09-11,2017-09-11-T-007,7,Implementation of Smart Nation and Cashless Payment for Public Services,,OA,
2017-09-11,2017-09-11-T-008,8,Economic Promotion Agencies Merge to Support Companies' Growth,,OA,
2017-09-11,2017-09-11-T-009,9,Investigation into Request to Remove Bilingual Signboards at NTU Food Court,,OA,
2017-09-11,2017-09-11-T-010,10,Noise Disturbances from Relocation of Paya Lebar Airbase,,OA,
2017-09-11,2017-09-11-T-011,11,Assistance and Compensation for Farmers Affected by expansion of Tengah Airbase,,OA,
2017-09-11,2017-09-11-T-012,12,Ensuring Buildings are Constructed with Materials Approved under Existing Regulations,,OA,
2017-09-11,2017-09-11-T-013,13,Checks and Audits on Buildings with External Cladding,,OA,
2017-09-11,2017-09-11-T-014,14,Maritime and Port Authority of Singapore (Amendment) Bill,,BI,
2017-09-11,2017-09-11-T-015,15,Infrastructure Protection Bill,,BI,
2017-09-11,2017-09-11-T-016,16,Audit (Amendment) Bill,,BI,
2017-09-11,2017-09-11-T-017,17,Goods and Services Tax (Amendment) Bill,,BI,
2017-09-11,2017-09-11-T-018,18,Property Tax (Amendment) Bill,,BI,
2017-09-11,2017-09-11-T-019,19,Income Tax (Amendment) Bill,,BI,
2017-09-11,2017-09-11-T-020,20,Jurong Town Corporation (Amendment) Bill,,BP,
2017-09-11,2017-09-11-T-021,21,Building Maintenance and Strata Management (Amendment) Bill,,BP,
2017-09-11,2017-09-11-T-022,22,Professional Engineers (Amendment) Bill,,BP,
2017-09-11,2017-09-11-T-023,23,Extension of a Sitting,Motion,OS,
2017-09-11,2017-09-11-T-024,24,Professional Engineers (Amendment) Bill,,BP,
2017-09-11,2017-09-11-T-025,25,Adjournment,,OS,
2017-09-11,2017-09-11-T-026,26,Community Sentencing and Other Rehabilitative Options,,OS,
2017-09-11,2017-09-11-T-027,27,Advice on Potential Risks of Artificial Sweeteners,,WANA,
