topic_id,date,topic_order,title,section_type
2016-04-11-T-001,2016-04-11,1,Estimates of Expenditure for the Financial Year 1 April 2016 to 31 March 2017,OS
2016-04-11-T-002,2016-04-11,2,Committee of Supply – Head M (Ministry of Finance),OS
2016-04-11-T-003,2016-04-11,3,Committee of Supply – Head Q (Ministry of Communications and Information),OS
2016-04-11-T-004,2016-04-11,4,Committee of Supply – Head T (Ministry of National Development),OS
2016-04-11-T-005,2016-04-11,5,Committee of Supply – Head W (Ministry of Transport),OS
2016-04-11-T-006,2016-04-11,6,Committee of Supply Reporting Progress,OS
2016-04-11-T-007,2016-04-11,7,Adjournment,OS
2016-04-11-T-008,2016-04-11,8,Rental Rebates for Hawkers Affected by Closure of Hawker Centres for Improvement Works,WA
