Date,Topic_CID,Order,Title,Subtitle,Section_Type,Question_Count
2021-01-05,2021-01-05-T-001,1,Possible Revisions to Schemes Following Government's Study on Impact of Divorce,,OA,
2021-01-05,2021-01-05-T-002,2,Health Requirements and Contingency Plans for Singapore Hosting World Economic Forum in 2021,,OA,
2021-01-05,2021-01-05-T-003,3,Maintaining Singapore's Energy Supply Reliability,,OA,
2021-01-05,2021-01-05-T-004,4,Rejections of COVID-19 Support Grant Applications Due to Inability to Produce Retrenchment Letters,,OA,
2021-01-05,2021-01-05-T-005,5,Payouts under Self-Employed Person Income Relief Scheme Subjected to Clawback,,OA,
2021-01-05,2021-01-05-T-006,6,Rationale for Support Threshold in Jobs Growth Incentive Scheme,,OA,
2021-01-05,2021-01-05-T-007,7,Public Education for Code on Use of Public Paths,,OA,
2021-01-05,2021-01-05-T-008,8,Support for Family Members of Prison Inmates,,OA,
2021-01-05,2021-01-05-T-009,9,"Guns, Explosives and Weapons Control Bill",,BP,
2021-01-05,2021-01-05-T-010,10,Clarification by Minister for Foreign Affairs,,OS,
2021-01-05,2021-01-05-T-011,11,Multimodal Transport Bill,,BP,
2021-01-05,2021-01-05-T-012,12,Statute Law Reform Bill,,BP,
2021-01-05,2021-01-05-T-013,13,Government Securities,Motion,OS,
2021-01-05,2021-01-05-T-014,14,Treasury Bills,Motion,OS,
2021-01-05,2021-01-05-T-015,15,Adjournment,,OS,
2021-01-05,2021-01-05-T-016,16,Cross-subsidisation of MediShield Life Premiums between Private and Public Hospitals,,WANA,1
2021-01-05,2021-01-05-T-017,17,Purchase of BTO Flats under Assistance for Second-Timer Scheme for Divorced Parents,,WANA,1
2021-01-05,2021-01-05-T-018,18,Proposal to Allow HDB Rental Tenants to Buy 2-room Flexi Flats with Shorter Lease,,WANA,1
2021-01-05,2021-01-05-T-019,19,Tracking of Police's Performance in Investigating and Solving Crimes Involving Online Scams,,WANA,1
2021-01-05,2021-01-05-T-020,20,Businesses That Have Tapped Business and IPC Partnership Scheme to Promote Corporate Volunteerism amongst Employees,,WANA,1
2021-01-05,2021-01-05-T-021,21,Recent Take-up Rate for SkillsFuture Credit and Courses,,WANA,1
2021-01-05,2021-01-05-T-022,22,Government Oversight of Platforms that Publish Fees Charges by Doctors and Dentists,,WANA,2
2021-01-05,2021-01-05-T-023,23,Preventing Doctors from Issuing Insufficient Medical Leave,,WANA,1
2021-01-05,2021-01-05-T-024,24,Rationale for Spousal Income Criterion in Eligibility Assessment for Workfare Income Supplement,,WANA,1
2021-01-05,2021-01-05-T-025,25,Payment of Fines by Instalments,,WANA,1
2021-01-05,2021-01-05-T-026,26,Children Separated from Parents Due to Immigration Status,,WANA,1
2021-01-05,2021-01-05-T-027,27,Numbers Helped under Partners Engaging and Empowering Rough Sleepers Network,,WANA,2
2021-01-05,2021-01-05-T-028,28,Environmental Impact Study Done on Clementi Forest and Impact on Biodiversity if Land is Used for Urban Development,,WANA,1
2021-01-05,2021-01-05-T-029,29,Complaints Received in Relation to Noise from Neighbours in HDB Estates Since Start of 2020,,WANA,1
