Date,Topic_CID,Order,Title,Subtitle,Section_Type,Question_Count
2018-03-06,2018-03-06-T-001,1,Suspension of Standing Order 91,,OS,
2018-03-06,2018-03-06-T-002,2,Statement from Leader of the House,GST Announcement,OS,
2018-03-06,2018-03-06-T-003,3,Estimates of Expenditure for the Financial Year 1 April 2018 to 31 March 2019,Committee of Supply – Paper Cmd 13 of 2018,OS,
2018-03-06,2018-03-06-T-004,4,Committee of Supply – Head Q (Ministry of Communications and Information),,OS,
2018-03-06,2018-03-06-T-005,5,Committee of Supply – Head M (Ministry of Finance),,OS,
2018-03-06,2018-03-06-T-006,6,Committee of Supply – Head L (Ministry of Environment and Water Resources),,OS,
2018-03-06,2018-03-06-T-007,7,Committee of Supply – Head T (Ministry of National Development),,OS,
2018-03-06,2018-03-06-T-008,8,Committee of Supply – Head W (Ministry of Transport),,OS,
2018-03-06,2018-03-06-T-009,9,Committee of Supply Reporting Progress,,OS,
2018-03-06,2018-03-06-T-010,10,Adjournment,,OS,
