Date,Topic_CID,Order,Title,Subtitle,Section_Type,Question_Count
2018-02-19,2018-02-19-T-001,1,Update on Investigation into Possible Misuse of Funds at Tiong Bahru Football Club,,OA,
2018-02-19,2018-02-19-T-002,2,Complaints of Wrongful Accusation Leading to Investigation of Innocent Parties,,OA,
2018-02-19,2018-02-19-T-003,3,Invitation of Members of Parliament to School Events,,OA,
2018-02-19,2018-02-19-T-004,4,Long-term Monitoring of Children and Youths who Have Experienced Sudden Death of Peers,,OA,
2018-02-19,2018-02-19-T-005,5,Enhancing Public Awareness of Special Needs Children and Needs of Their Parents and Care-givers,,OA,
2018-02-19,2018-02-19-T-006,6,Criteria to Determine Childcare and Pre-school Subsidies,,OA,
2018-02-19,2018-02-19-T-007,7,Impact of Singapore Bank Loans to Coal Power Projects on Government's Carbon Emission Commitments,,OA,
2018-02-19,2018-02-19-T-008,8,Call for Thorough Investigation of Keppel Offshore and Marine's Business Affairs for Contracts in Countries Other Than Brazil,,OA,
2018-02-19,2018-02-19-T-009,9,Singapore's Broadcast Rights for 2020 Tokyo Olympics,,OA,
2018-02-19,2018-02-19-T-010,10,Record of Incidents on MRT and LRT Trains Such As Sudden Acceleration and Closing of Doors without Warning,,OA,
2018-02-19,2018-02-19-T-011,11,Update on Work Done as A Result of Shutting of Train Lines for Scheduled Maintenance,,OA,
2018-02-19,2018-02-19-T-012,12,Alignment of New Coal Gasification Plant on Jurong Island with Singapore's Climate Change Commitments,,OA,
2018-02-19,2018-02-19-T-013,13,Singapore Study on Consumption of Vitamins and Health Supplements,,OA,
2018-02-19,2018-02-19-T-014,14,Minimum Space Standards for HDB Flats,,OA,
2018-02-19,2018-02-19-T-015,15,Top SkillsFuture Courses and Their Impact on Employability of Participants,,OA,
2018-02-19,2018-02-19-T-016,16,Trend for Workplace Injuries and System for Workplace Injury Reporting,,OA,
2018-02-19,2018-02-19-T-017,17,Tests on Autonomous Public Buses and Inclusion in Public Transport Mix,,OA,
2018-02-19,2018-02-19-T-018,18,Collection of Ride-pricing Data to Assess Market and End-user Experience for Flat Fare Pricing and Surge Pricing,,OA,
2018-02-19,2018-02-19-T-019,19,Raising Greater Awareness for Emergency Preparedness and for More to Be Skilled in CPR and First Aid,,OA,
2018-02-19,2018-02-19-T-020,20,Proposal to Give Priority for Singapore PR or Citizenship Applications by Minors who are Stepchildren of Singapore Citizens,,OA,
2018-02-19,2018-02-19-T-021,21,Percentage of Singaporean Mother Tongue Teachers in Pre-schools,,OA,
2018-02-19,2018-02-19-T-022,22,Supply Bill,,BI,
2018-02-19,2018-02-19-T-023,23,Supplementary Supply (FY2017) Bill,,BI,
2018-02-19,2018-02-19-T-024,24,Annual Budget Statement,,OS,
2018-02-19,2018-02-19-T-025,25,Adjournment,,OS,
2018-02-19,2018-02-19-T-026,26,Reinvesting Cost Savings by Public Transport Operators from Going Cashless Towards Improving Customer Experience,,WANA,
2018-02-19,2018-02-19-T-027,27,Installation of Lifts at Pedestrian Overhead Bridges,,WA,
2018-02-19,2018-02-19-T-028,28,Change in Employers for Existing Work Permit Holders,,WA,
2018-02-19,2018-02-19-T-029,29,Number of Applicants Who Applied for Legal Aid from 2013 to 2017,,WA,
2018-02-19,2018-02-19-T-030,30,Priority Outpatient Treatment for Elderly Patients at Polyclinics and Hospitals,,WA,
2018-02-19,2018-02-19-T-031,31,Statistics on HDB Home Loan Arrears from 2015 to 2017,,WA,
