Date,Topic_CID,Order,Title,Subtitle,Section_Type,Question_Count
2016-04-05,2016-04-05-T-001,1,Time Allocation for Committee of Supply,Announcement by Mdm Speaker,OS,
2016-04-05,2016-04-05-T-002,2,Free Parking at Government Agencies' Car Parks,,OA,
2016-04-05,2016-04-05-T-003,3,Installation of Barriers at Void Decks and Other Common Spaces,,OA,
2016-04-05,2016-04-05-T-004,4,In-vehicle Register for Heavy Vehicles to Record Exceeding of Speed Limit,,OA,
2016-04-05,2016-04-05-T-005,5,Students Attending International Schools,,OA,
2016-04-05,2016-04-05-T-006,6,Location of Merged School at Bedok North Secondary School,,OA,
2016-04-05,2016-04-05-T-007,7,Recognition of Experience of Ex-teachers who Rejoin Teaching Service,,OA,
2016-04-05,2016-04-05-T-008,8,Adequacy of Places for Home Care and Centre-based Care Services for Elderly,,OA,
2016-04-05,2016-04-05-T-009,9,Nationalities of Engineers Working in Singapore,,OA,
2016-04-05,2016-04-05-T-010,10,Debate on Annual Budget Statement,,OS,
2016-04-05,2016-04-05-T-011,11,Adjournment of Debate,,OS,
2016-04-05,2016-04-05-T-012,12,Adjournment,,OS,
2016-04-05,2016-04-05-T-013,13,Deferment of Collection of Keys for BTO Flats,,WANA,
2016-04-05,2016-04-05-T-014,14,Promoting Interest among Singapore Students for Engineering Studies,,WANA,
2016-04-05,2016-04-05-T-015,15,Enrolment in Junior Colleges,,WANA,
2016-04-05,2016-04-05-T-016,16,Cases of Fraud in Productivity and Innovation Credit Scheme,,WA,
